depth,spp,torque,flow
1306.537,5922.52756725869,6.521484331474039,1993.92791688
1307.516,5979.16799842207,9.10431752304533,1993.92791688
1308.202,6138.33347053486,10.8465435866512,1993.92791688
1309.573,6169.497773499979,13.3276904320977,1993.92791688
1310.564,6016.4341615916455,13.14465500907295,1993.92791688
1311.554,6114.753400592221,10.0737273561023,1993.92791688
1312.469,6151.43350939188,10.3720073047352,1993.92791688
1314.8310000000001,6346.58961457501,13.564958573055648,1993.92791688
1315.364,6087.450161711279,11.7684997915166,1993.92791688
1316.431,6298.291839736371,11.1583817147674,1993.92791688
1317.422,20949.340823640952,11.64647617616675,3987.85583376
1318.5115,20882.5650992566,10.2635418688687,3987.85583376
1319.4030000000002,20743.4288970805,11.673592535133352,3987.85583376
1320.47,20716.677238782948,12.1684660862743,3987.85583376
1321.46,20746.945223299997,11.9040815863497,3987.85583376
1322.405,20681.1692387232,10.8465435866512,3987.85583376
1323.289,20654.624423144494,10.6567290738848,3987.85583376
1324.661,11611.253914706002,11.5244525608169,2880.1307202
1325.537,12245.3992167452,11.605801637716802,2968.74721512
1326.733,12244.123686646,10.7651945097513,2968.74721512
1327.4605,12230.0583817679,12.1481288170494,2968.74721512
1328.4589999999998,12230.0583817679,11.388870765983802,2968.74721512
1329.388,12245.4336905317,11.958314304282998,2968.74721512
1330.612,16343.4705828721,10.982125381484302,3500.44618464
1331.4470000000001,18587.162501215,11.1312653558008,3766.33352352
1332.506,18509.5964816669,12.4192924067156,3766.33352352
1333.473,18494.565910767706,12.1616869965327,3766.33352352
1334.5305,18477.7427029724,10.6838454328514,3766.33352352
1335.411,19712.1800487413,11.239730791667302,3920.39979192
1336.521,20359.2530207051,8.77214212570416,3987.85583376
1337.511,20373.4562207291,9.328027484520035,3987.85583376
1338.636,20356.357222642,10.8601017661345,3987.85583376
1339.4195,20338.0171682422,11.26684715063395,3987.85583376
1340.559,20311.6791953823,11.4159871249504,3987.85583376
1341.5575,20259.8306205376,13.2463413551978,3987.85583376
1342.5279999999998,20288.4438633043,12.8260377912151,3987.85583376
1343.4989999999998,20254.86639528655,12.975177765531502,3987.85583376
1344.5045,20191.365680616495,11.917639765833002,3987.85583376
1345.537,20162.1319096934,11.7142670735833,3987.85583376
1346.5120000000002,20202.8799252961,10.7380781507847,3987.85583376
1347.4765,20160.1324300784,12.3243851503324,3987.85583376
1348.5479999999998,20135.7249892606,12.229477893949198,3987.85583376
1349.4505,20155.3060999732,11.7549416120332,3987.85583376
1350.48,20128.8302319674,12.7582468937985,3987.85583376
1351.489,20149.1008184094,12.9345032270816,3987.85583376
1352.4935,20143.2402747102,13.1378759193313,3987.85583376
1353.4810000000002,20128.347598956894,13.7615521755637,3987.85583376
