time,stick_slip_index
43844.5820601852,0.0258620689655172
43844.5821759259,0.0258620689655172
43844.5822916667,0.0257879656160458
43844.5824074074,0.0257879656160458
43844.5825231481,0.0257879656160458
43844.5826388889,0.0258620689655172
43844.5827546296,0.0258620689655172
43844.5828703704,0.0258620689655172
43844.5829861111,0.0257879656160458
43844.5831018519,0.0257879656160458
43844.5832175926,0.0258620689655172
43844.5833333333,0.0258620689655172
43844.5834490741,0.0258620689655172
43844.5835648148,0.0258620689655172
43844.5836805556,0.0258620689655172
43844.5837962963,0.0258620689655172
43844.583912037,0.0257731958762886
43844.5840277778,0.0257731958762886
43844.5841435185,0.0257731958762886
43844.5842592593,0.0257142857142857
43844.584375,0.0257142857142857
43844.5844907407,0.0085034013605442
43844.5846064815,0.0085034013605442
43844.5847222222,0.0085034013605442
43844.584837963,0.008498583569405
43844.5849537037,0.008498583569405
43844.5850694444,0.008498583569405
43844.5851851852,0.0085034013605442
43844.5853009259,0.0085034013605442
43844.5854166667,0.0085034013605442
43844.5855324074,0.008498583569405
43844.5856481481,0.008498583569405
43844.5857638889,0.0085034013605442
43844.5858796296,0.0085034013605442
43844.5859953704,0.0085034013605442
43844.5861111111,0.008498583569405
43844.5862268518,0.008498583569405
43844.5863425926,0.008498583569405
43844.5864583333,0.0085034013605442
43844.5865740741,0.0085034013605442
43844.5866898148,0.008498583569405
43844.5868055556,0.008498583569405
43844.5869212963,0.008498583569405
43844.587037037,0.0
43844.5871527778,0.0
43844.5872685185,0.0
43844.5873842593,0.008498583569405
43844.5875,0.008498583569405
43844.5876157407,0.008498583569405
43844.5877314815,0.0085034013605442
43844.5878472222,0.0085034013605442
43844.587962963,0.0169491525423728
43844.5880787037,0.0169491525423728
43844.5881944444,0.0169491525423728
43844.5883101852,0.0169491525423728
43844.5884259259,0.0169491525423728
43844.5885416667,0.0169491525423728
43844.5886574074,0.0169491525423728
43844.5887731481,0.0169491525423728
43844.5888888889,0.0169491525423728
43844.5890046296,0.0169491525423728
43844.5891203704,0.0169491525423728
43844.5892361111,0.0169491525423728
43844.5893518519,0.0169491525423728
43844.5894675926,0.0169491525423728
43844.5895833333,0.0169491525423728
43844.5896990741,0.0169491525423728
43844.5898148148,0.0169491525423728
43844.5899305556,0.0169491525423728
43844.5900462963,0.0169491525423728
43844.590162037,0.0169491525423728
43844.5902777778,0.0169491525423728
43844.5903935185,0.0169491525423728
43844.5905092593,0.0169491525423728
43844.590625,0.0169491525423728
43844.5907407407,0.0169491525423728
43844.6002314815,0.0413907284768211
43844.6003472222,0.0413907284768211
43844.600462963,0.0413907284768211
43844.6005787037,0.0572207084468664
43844.6006944444,0.0572207084468664
43844.6008101852,0.0575657894736842
43844.6009259259,0.0575657894736842
43844.6010416667,0.0575657894736842
43844.6011574074,0.0576923076923076
43844.6012731481,0.0576923076923076
43844.6013888889,0.0576923076923076
43844.6015046296,0.0408496732026143
43844.6016203704,0.0408496732026143
43844.6017361111,0.0831024930747922
43844.6018518518,0.0831024930747922
43844.6019675926,0.0831024930747922
43844.6020833333,0.0833333333333333
43844.6021990741,0.0833333333333333
43844.6023148148,0.0833333333333333
43844.6024305556,0.0837988826815642
43844.6025462963,0.0837988826815642
43844.602662037,0.0837988826815642
43844.6027777778,0.0838926174496644
43844.6028935185,0.0838926174496644
43844.6030092593,0.0837988826815642
43844.603125,0.0837988826815642
43844.6032407407,0.0837988826815642
43844.6033564815,0.0838926174496644
43844.6034722222,0.0838926174496644
43844.603587963,0.0838926174496644
43844.6037037037,0.1293103448275862
43844.6038194444,0.1293103448275862
43844.6039351852,0.1293103448275862
43844.6040509259,0.0883392226148409
43844.6041666667,0.0883392226148409
43844.6042824074,0.1127167630057803
43844.6043981481,0.1127167630057803
43844.6045138889,0.1127167630057803
43844.6046296296,0.1136363636363636
43844.6047453704,0.1136363636363636
43844.6048611111,0.1136363636363636
43844.6049768519,0.1123919308357348
43844.6050925926,0.1123919308357348
43844.6052083333,0.1113013698630137
43844.6053240741,0.1113013698630137
43844.6054398148,0.1113013698630137
43844.6055555556,0.1107954545454545
43844.6056712963,0.1107954545454545
43844.605787037,0.1107954545454545
43844.6059027778,0.1105442176870748
43844.6060185185,0.1105442176870748
43844.6061342593,0.1105442176870748
43844.60625,0.1098591549295774
43844.6063657407,0.1098591549295774
43844.6064814815,0.1101694915254237
43844.6065972222,0.1101694915254237
43844.606712963,0.1101694915254237
43844.6068287037,0.1098591549295774
43844.6069444444,0.1098591549295774
43844.6070601852,0.1098591549295774
43844.6071759259,0.0245901639344262
43844.6072916667,0.0245901639344262
43844.6074074074,0.0245901639344262
43844.6075231481,0.0413223140495867
43844.6076388889,0.0413223140495867
43844.6077546296,0.025
43844.6078703704,0.025
43844.6079861111,0.025
43844.6081018519,0.025
43844.6082175926,0.025
43844.6083333333,0.025
43844.6084490741,0.0250836120401337
43844.6085648148,0.0250836120401337
43844.6086805556,0.0250836120401337
43844.6087962963,0.0250696378830083
43844.608912037,0.0250696378830083
43844.6090277778,0.0250836120401337
43844.6091435185,0.0250836120401337
43844.6092592593,0.0250836120401337
43844.609375,0.0250696378830083
43844.6094907407,0.0250696378830083
43844.6096064815,0.0250696378830083
43844.6097222222,0.0167785234899328
43844.609837963,0.0167785234899328
43844.6099537037,0.0167785234899328
43844.6100694444,0.0167597765363128
43844.6101851852,0.0167597765363128
43844.6103009259,0.0167785234899328
43844.6104166667,0.0167785234899328
43844.6105324074,0.0167785234899328
43844.6106481481,0.0167597765363128
43844.6107638889,0.0167597765363128
43844.6108796296,0.0167597765363128
43844.6109953704,0.0
43844.6111111111,0.0
43844.6112268518,0.0083102493074792
43844.6113425926,0.0083102493074792
43844.6114583333,0.0083102493074792
43844.6115740741,0.0083056478405315
43844.6116898148,0.0083056478405315
43844.6118055556,0.0083056478405315
43844.6119212963,0.0082872928176795
43844.612037037,0.0082872928176795
43844.6121527778,0.0082872928176795
43844.6122685185,0.0082781456953642
43844.6123842593,0.0082781456953642
43844.6125,0.0082644628099173
43844.6126157407,0.0082644628099173
43844.6127314815,0.0082644628099173
43844.6128472222,0.0082508250825082
43844.612962963,0.0082508250825082
43844.6130787037,0.0082508250825082
43844.6131944444,0.0165745856353591
43844.6133101852,0.0165745856353591
43844.6134259259,0.0165745856353591
43844.6135416667,0.0165562913907284
43844.6136574074,0.0165562913907284
43844.6137731481,0.0166204986149584
43844.6138888889,0.0166204986149584
43844.6140046296,0.0166204986149584
43844.6141203704,0.0166112956810631
43844.6142361111,0.0166112956810631
43844.6143518519,0.0166112956810631
43844.6144675926,0.0166666666666666
43844.6145833333,0.0166666666666666
43844.6146990741,0.0167224080267558
43844.6148148148,0.0167224080267558
43844.6149305556,0.0167224080267558
43844.6150462963,0.0166666666666666
43844.615162037,0.0166666666666666
43844.6152777778,0.0166666666666666
43844.6153935185,0.0167224080267558
43844.6155092593,0.0167224080267558
43844.615625,0.0167224080267558
43844.6157407407,0.6120401337792641
43844.6158564815,0.6120401337792641
43844.6159722222,0.6407563025210083
43844.616087963,0.6407563025210083
43844.6162037037,0.6407563025210083
43844.6163194444,0.6407563025210083
43844.6164351852,0.6407563025210083
43844.6165509259,0.6407563025210083
43844.6166666667,0.6815642458100558
43844.6167824074,0.6815642458100558
43844.6168981481,0.6815642458100558
43844.6170138889,0.6815642458100558
43844.6171296296,0.6815642458100558
43844.6172453704,0.6815642458100558
43844.6173611111,0.6815642458100558
43844.6174768518,0.6815642458100558
43844.6175925926,0.6815642458100558
43844.6177083333,0.6815642458100558
43844.6178240741,0.6815642458100558
43844.6255787037,0.625
43844.6256944444,0.625
43844.6258101852,0.625
43844.6259259259,0.962566844919786
43844.6260416667,0.962566844919786
43844.6261574074,0.962566844919786
43844.6262731481,0.9493670886075948
43844.6263888889,0.9493670886075948
43844.6265046296,0.9493670886075948
43844.6266203704,1.0204918032786885
43844.6267361111,1.0204918032786885
43844.6268518518,0.9718969555035128
43844.6269675926,0.9718969555035128
43844.6270833333,0.9718969555035128
43844.6271990741,0.8355704697986578
43844.6273148148,0.8355704697986578
43844.6274305556,0.8355704697986578
43844.6275462963,0.7670979667282809
43844.627662037,0.7670979667282809
43844.6277777778,0.7670979667282809
43844.6278935185,0.7334254143646408
43844.6280092593,0.7334254143646408
43844.628125,0.4004178272980501
43844.6282407407,0.4004178272980501
43844.6283564815,0.4004178272980501
43844.6284722222,0.4186893203883495
43844.628587963,0.4186893203883495
43844.6287037037,0.4186893203883495
43844.6288194444,0.2546296296296296
43844.6289351852,0.2546296296296296
43844.6290509259,0.2633979475484607
43844.6291666667,0.2633979475484607
43844.6292824074,0.2633979475484607
43844.6293981481,0.2563249001331558
43844.6295138889,0.2563249001331558
43844.6296296296,0.2563249001331558
43844.6297453704,0.2560975609756097
43844.6298611111,0.2560975609756097
43844.6299768519,0.2560975609756097
43844.6300925926,0.2636986301369863
43844.6302083333,0.2636986301369863
43844.6303240741,0.3039806996381182
43844.6304398148,0.3039806996381182
43844.6305555556,0.3039806996381182
43844.6306712963,0.3181818181818182
43844.630787037,0.3181818181818182
43844.6309027778,0.3181818181818182
43844.6310185185,0.3047158403869407
43844.6311342593,0.3047158403869407
43844.63125,0.3047158403869407
43844.6313657407,0.2639751552795031
43844.6314814815,0.2639751552795031
43844.6315972222,0.342032967032967
43844.631712963,0.342032967032967
43844.6318287037,0.342032967032967
43844.6319444444,0.3336012861736334
43844.6320601852,0.3336012861736334
43844.6321759259,0.3336012861736334
43844.6322916667,0.3337801608579088
43844.6324074074,0.3337801608579088
43844.6325231481,0.332
43844.6326388889,0.332
43844.6327546296,0.332
43844.6328703704,0.3284960422163588
43844.6329861111,0.3284960422163588
43844.6331018518,0.3284960422163588
43844.6332175926,0.3418451400329489
43844.6333333333,0.3418451400329489
43844.6334490741,0.3418451400329489
43844.6335648148,0.3443983402489626
43844.6336805556,0.3443983402489626
43844.6337962963,0.3325320512820512
43844.633912037,0.3325320512820512
43844.6340277778,0.3325320512820512
43844.6341435185,0.3167938931297709
43844.6342592593,0.3167938931297709
43844.634375,0.3167938931297709
43844.6344907407,0.3150242326332795
43844.6346064815,0.3150242326332795
43844.6347222222,0.3150242326332795
43844.634837963,0.3038961038961039
43844.6349537037,0.3038961038961039
43844.6350694444,0.1676384839650146
43844.6351851852,0.1676384839650146
43844.6353009259,0.1676384839650146
43844.6354166667,0.2
43844.6355324074,0.2
43844.6356481481,0.2
43844.6357638889,0.1974664679582712
43844.6358796296,0.1974664679582712
43844.6359953704,0.1974664679582712
43844.6361111111,0.1962962962962963
43844.6362268519,0.1962962962962963
43844.6363425926,0.1957163958641063
43844.6364583333,0.1957163958641063
43844.6365740741,0.1957163958641063
43844.6366898148,0.1922611850060459
43844.6368055556,0.1922611850060459
43844.6369212963,0.1922611850060459
43844.637037037,0.1863572433192686
43844.6371527778,0.1863572433192686
43844.6372685185,0.1863572433192686
43844.6373842593,0.1890606420927467
43844.6375,0.1890606420927467
43844.6376157407,0.1546391752577319
43844.6377314815,0.1546391752577319
43844.6378472222,0.1546391752577319
43844.637962963,0.1544117647058823
43844.6380787037,0.1544117647058823
43844.6381944444,0.1544117647058823
43844.6383101852,0.1541353383458646
43844.6384259259,0.1541353383458646
43844.6385416667,0.6766917293233083
43844.6386574074,0.6766917293233083
43844.6387731481,0.6766917293233083
43844.6388888889,0.6744604316546763
43844.6390046296,0.6744604316546763
43844.6391203704,0.6744604316546763
43844.6392361111,0.6744604316546763
43844.6393518519,0.6744604316546763
43844.6394675926,0.6744604316546763
43844.6395833333,0.7194244604316546
43844.6396990741,0.7194244604316546
43844.6398148148,0.7194244604316546
43844.6399305556,0.7194244604316546
43844.6400462963,0.7194244604316546
43844.640162037,0.7194244604316546
43844.6402777778,0.7194244604316546
43844.6403935185,0.7194244604316546
43844.6405092593,0.7194244604316546
43844.640625,0.7194244604316546
43844.6407407407,0.7194244604316546
43844.6486111111,0.1923076923076923
43844.6487268518,0.1923076923076923
43844.6488425926,0.1908396946564885
43844.6489583333,0.1908396946564885
43844.6490740741,0.1908396946564885
43844.6491898148,0.104
43844.6493055556,0.104
43844.6494212963,0.104
43844.649537037,0.1287386215864759
