********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.90(m)
End:			1624.00(m)
Date/Time:	Saturday, August 05, 2006 /05:57:27
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

427.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.10                  -999.25                 -999.25                 26.0                    -999.25                 -999.25                 
428.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.70                  -999.25                 -999.25                 -999.25                 -999.25                 2.826                   
428.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
429.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.10                  -999.25                 -999.25                 -999.25                 4.308                   -999.25                 
430.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
430.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.30                  -999.25                 -999.25                 -999.25                 1.737                   -999.25                 
431.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
431.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
