!Well:					BILABRI D2
!Path:					Original Path
!Reference North is:			TRUE
!Magnetic Declination is:		-3.48
!True to Grid Convergence:		0.00
!Tie In Point data:		
!MD  0.00  INC  0.00  Azicorr  0.00  TVD  0.00  N/S  0.00  E/W  0.00  
!
!Measured Depth   Inclination      Azimuth          Planar VS        Course Length    Incr VS          Dogleg           Position North   Vertical Depth   Position East    
!----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2457.00           58.49            320.31           481.93           28.00            486.65           0.87             372.44           2239.25          -305.92          
2485.00           58.57            319.76           505.81           28.00            510.53           0.50             390.74           2253.87          -321.26          
2514.00           55.81            319.48           530.18           29.00            534.91           2.87             409.31           2269.58          -337.05          
2542.00           54.61            319.66           553.18           28.00            557.90           1.30             426.81           2285.55          -351.97          
2570.00           51.37            319.54           575.54           28.00            580.26           3.47             443.84           2302.40          -366.46          
2598.00           47.68            319.45           596.83           28.00            601.55           3.96             460.03           2320.58          -380.29          
2626.00           45.05            319.26           617.09           28.00            621.82           2.83             475.41           2339.90          -393.48          
2655.00           41.87            319.35           637.04           29.00            641.76           3.29             490.53           2360.94          -406.49          
2683.00           39.10            318.63           655.21           28.00            659.94           3.01             504.25           2382.24          -418.41          
2712.00           38.97            318.99           673.47           29.00            678.20           0.27             517.99           2404.76          -430.44          
2741.00           36.03            318.00           691.12           29.00            695.85           3.11             531.22           2427.77          -442.14          
2769.00           32.99            317.35           706.97           28.00            711.71           3.28             542.94           2450.84          -452.81          
2798.00           30.06            318.10           722.12           29.00            726.88           3.05             554.16           2475.56          -463.02          
2827.00           27.45            318.97           736.07           29.00            740.83           2.73             564.61           2500.98          -472.26          
2855.00           24.98            319.14           748.44           28.00            753.19           2.65             573.95           2526.10          -480.36          
2884.00           25.12            318.65           760.71           29.00            765.47           0.26             583.20           2552.37          -488.44          
2902.00           25.03            318.85           768.34           18.00            773.10           0.21             588.94           2568.67          -493.46          
