********************************************************************************

Well:		Bilabri D3
Path:		Original Path
Hole:		Original Path Hole
Start:		262.00(m)
End:			841.00(m)
Date/Time:	Wednesday, October 11, 2006 /19:13:48
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

269.30                  269.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.40                  269.44                  16.65                   -999.25                 -999.25                 -999.25                 -999.25                 
269.50                  269.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.60                  269.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.70                  269.75                  16.62                   -999.25                 -999.25                 -999.25                 -999.25                 
269.80                  269.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.90                  269.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.00                  270.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.10                  270.05                  17.88                   -999.25                 -999.25                 -999.25                 -999.25                 
270.20                  270.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.30                  270.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.40                  270.36                  17.03                   -999.25                 -999.25                 -999.25                 -999.25                 
270.50                  270.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.60                  270.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.70                  270.66                  16.66                   -999.25                 -999.25                 -999.25                 -999.25                 
270.80                  270.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.90                  270.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.00                  270.97                  17.44                   -999.25                 -999.25                 -999.25                 -999.25                 
271.10                  271.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.20                  271.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.30                  271.27                  18.63                   -999.25                 -999.25                 -999.25                 -999.25                 
271.40                  271.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.50                  271.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.60                  271.58                  17.99                   -999.25                 -999.25                 -999.25                 -999.25                 
271.70                  271.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.80                  271.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.90                  271.88                  18.08                   -999.25                 -999.25                 -999.25                 -999.25                 
272.00                  272.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.10                  272.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.20                  272.19                  17.48                   -999.25                 -999.25                 -999.25                 -999.25                 
272.30                  272.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.40                  272.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.50                  272.49                  19.70                   -999.25                 -999.25                 -999.25                 -999.25                 
272.60                  272.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.70                  272.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
272.80                  272.80                  20.94                   -999.25                 -999.25                 -999.25                 -999.25                 
272.90                  272.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.00                  273.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.10                  273.10                  19.52                   -999.25                 -999.25                 -999.25                 -999.25                 
273.20                  273.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.30                  273.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.40                  273.41                  19.43                   -999.25                 -999.25                 -999.25                 -999.25                 
273.50                  273.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.60                  273.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.70                  273.71                  17.87                   -999.25                 -999.25                 -999.25                 -999.25                 
273.80                  273.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
273.90                  273.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.00                  274.02                  17.52                   -999.25                 -999.25                 -999.25                 -999.25                 
274.10                  274.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.20                  274.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.30                  274.32                  16.35                   -999.25                 -999.25                 -999.25                 -999.25                 
274.40                  274.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.50                  274.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.60                  274.62                  17.13                   -999.25                 -999.25                 -999.25                 -999.25                 
274.70                  274.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.80                  274.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
274.90                  274.93                  17.85                   -999.25                 -999.25                 -999.25                 -999.25                 
275.00                  275.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
275.10                  275.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
275.20                  275.23                  20.61                   -999.25                 -999.25                 -999.25                 -999.25                 
275.30                  275.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
275.40                  275.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
275.50                  275.54                  17.87                   -999.25                 -999.25                 -999.25                 -999.25                 
275.60                  275.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
275.70                  275.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
