
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

856.75                  856.78                  8.94                    100.8                   1.257                   1.268                   1.312                   1.227                   148.3                   
857.00                  857.09                  9.39                    101.2                   1.220                   1.227                   1.267                   1.197                   148.3                   
857.25                  857.24                  9.66                    97.6                    1.151                   1.124                   1.154                   1.107                   148.3                   
857.50                  857.39                  9.93                    93.7                    1.089                   0.960                   1.020                   0.892                   148.3                   
857.75                  857.70                  11.10                   85.0                    1.054                   0.904                   0.959                   0.822                   148.6                   
858.00                  858.00                  12.38                   67.0                    1.048                   0.952                   1.002                   0.902                   149.7                   
858.25                  858.31                  11.92                   68.5                    1.067                   1.006                   1.054                   0.969                   151.2                   
858.50                  858.61                  11.98                   74.0                    1.089                   1.050                   1.095                   1.028                   151.9                   
858.75                  858.74                  11.78                   80.8                    1.110                   1.053                   1.105                   1.023                   151.9                   
859.00                  858.92                  11.50                   80.6                    1.136                   1.024                   1.082                   0.952                   151.9                   
859.25                  859.22                  11.12                   74.6                    1.175                   1.065                   1.115                   0.969                   151.9                   
859.50                  859.53                  11.29                   68.0                    1.214                   1.165                   1.215                   1.119                   151.9                   
859.75                  859.83                  11.53                   78.0                    1.243                   1.215                   1.271                   1.181                   151.9                   
860.00                  859.99                  11.52                   85.4                    1.256                   1.207                   1.279                   1.134                   151.9                   
860.25                  860.14                  11.51                   96.3                    1.244                   1.213                   1.271                   1.154                   151.9                   
860.50                  860.44                  11.44                   101.7                   1.210                   1.194                   1.253                   1.142                   151.9                   
860.75                  860.75                  11.39                   104.6                   1.149                   1.140                   1.186                   1.112                   151.9                   
861.00                  861.05                  11.47                   104.1                   1.080                   1.044                   1.083                   0.997                   151.9                   
861.25                  861.35                  11.00                   99.0                    0.995                   0.929                   0.962                   0.895                   151.9                   
861.50                  861.49                  11.01                   75.0                    0.938                   0.827                   0.863                   0.758                   151.9                   
861.75                  861.66                  11.01                   64.5                    0.908                   0.865                   0.891                   0.815                   151.9                   
862.00                  861.96                  11.12                   55.3                    0.885                   0.924                   0.940                   0.941                   151.9                   
862.25                  862.27                  11.37                   66.6                    0.852                   0.836                   0.865                   0.820                   151.9                   
862.50                  862.57                  11.38                   71.4                    0.819                   0.769                   0.791                   0.721                   151.9                   
862.75                  862.74                  11.40                   57.5                    0.811                   0.766                   0.792                   0.733                   151.9                   
863.00                  862.88                  11.43                   50.3                    0.816                   0.776                   0.803                   0.737                   151.9                   
863.25                  863.18                  11.42                   50.7                    0.824                   0.811                   0.834                   0.785                   151.9                   
863.50                  863.49                  11.39                   53.4                    0.828                   0.831                   0.855                   0.807                   151.9                   
863.75                  863.79                  11.72                   53.7                    0.830                   0.838                   0.866                   0.806                   151.9                   
864.00                  864.10                  10.92                   59.3                    0.823                   0.851                   0.872                   0.844                   151.9                   
864.25                  864.24                  10.87                   62.7                    0.795                   0.813                   0.832                   0.815                   151.9                   
864.50                  864.40                  10.83                   54.7                    0.752                   0.701                   0.737                   0.679                   151.9                   
864.75                  864.71                  11.22                   50.5                    0.740                   0.661                   0.692                   0.617                   151.9                   
865.00                  865.01                  11.31                   42.6                    0.767                   0.721                   0.734                   0.698                   151.9                   
865.25                  865.32                  11.87                   43.3                    0.819                   0.789                   0.796                   0.772                   151.9                   
865.50                  865.49                  12.44                   37.3                    0.888                   0.844                   0.873                   0.785                   151.9                   
865.75                  865.62                  12.87                   52.1                    0.978                   0.967                   0.999                   0.922                   151.9                   
866.00                  865.93                  13.76                   59.8                    1.115                   1.131                   1.163                   1.093                   151.9                   
866.25                  866.23                  13.91                   76.7                    1.195                   1.169                   1.232                   1.099                   151.9                   
866.50                  866.54                  13.85                   84.8                    1.225                   1.208                   1.259                   1.156                   151.9                   
866.75                  866.84                  13.49                   94.9                    1.231                   1.183                   1.239                   1.145                   151.9                   
867.00                  866.99                  13.60                   94.6                    1.219                   1.118                   1.198                   1.034                   151.9                   
867.25                  867.15                  13.72                   95.4                    0.985                   0.893                   0.934                   0.836                   151.9                   
867.50                  867.45                  14.47                   98.3                    0.903                   0.858                   0.876                   0.830                   151.9                   
867.75                  867.76                  13.88                   100.4                   0.913                   0.906                   0.924                   0.899                   151.9                   
868.00                  868.06                  12.58                   102.0                   0.916                   0.903                   0.926                   0.893                   151.9                   
868.25                  868.24                  11.82                   65.8                    0.918                   0.879                   0.904                   0.846                   151.9                   
868.50                  868.36                  11.29                   76.7                    0.925                   0.866                   0.897                   0.814                   151.9                   
868.75                  868.67                  14.94                   79.6                    0.928                   0.866                   0.898                   0.795                   151.9                   
869.00                  868.97                  25.35                   84.3                    0.930                   0.893                   0.929                   0.833                   151.9                   
869.25                  869.28                  17.22                   91.8                    0.942                   0.991                   0.976                   0.953                   151.9                   
869.50                  869.58                  16.47                   94.2                    0.950                   1.026                   1.042                   1.067                   151.9                   
869.75                  869.74                  15.94                   98.1                    0.945                   1.021                   1.044                   1.052                   151.9                   
870.00                  869.89                  15.44                   97.0                    0.941                   1.017                   1.047                   1.039                   151.9                   
870.25                  870.19                  17.29                   88.6                    0.939                   1.015                   1.047                   1.049                   151.9                   
870.50                  870.50                  19.76                   76.0                    0.938                   1.014                   1.046                   1.056                   151.9                   
870.75                  870.80                  26.40                   67.5                    0.930                   1.003                   1.047                   1.052                   151.9                   
871.00                  871.11                  33.46                   66.8                    0.924                   0.995                   1.048                   1.049                   151.9                   
871.25                  871.24                  39.67                   66.6                    0.920                   0.990                   1.048                   1.047                   152.4                   
871.50                  871.41                  47.84                   66.7                    0.900                   0.933                   0.999                   1.010                   152.7                   
871.75                  871.72                  64.48                   66.7                    0.886                   0.878                   0.944                   0.917                   153.0                   
872.00                  872.02                  115.17                  60.6                    0.869                   0.812                   0.879                   0.806                   153.3                   
872.25                  872.33                  174.68                  51.5                    0.853                   0.777                   0.840                   0.749                   153.6                   
872.50                  872.49                  201.87                  53.8                    0.846                   0.767                   0.822                   0.734                   153.9                   
872.75                  872.63                  225.71                  55.8                    0.836                   0.752                   0.794                   0.711                   154.2                   
873.00                  872.94                  228.18                  54.4                    0.828                   0.740                   0.773                   0.694                   154.6                   
873.25                  873.24                  239.98                  57.9                    0.826                   0.736                   0.769                   0.688                   154.6                   
873.50                  873.55                  139.93                  64.5                    0.824                   0.732                   0.764                   0.681                   154.5                   
873.75                  873.85                  206.22                  62.9                    0.825                   0.732                   0.769                   0.685                   154.5                   
874.00                  873.99                  183.34                  60.7                    0.826                   0.732                   0.777                   0.692                   154.4                   
