
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

1169.50                 1169.50                 34.79                   48.0                    0.738                   0.731                   0.710                   0.691                   162.5                   
1169.75                 1169.80                 31.74                   48.2                    0.714                   0.724                   0.688                   0.694                   161.9                   
1170.00                 1169.98                 28.80                   46.3                    0.677                   0.674                   0.650                   0.652                   161.4                   
1170.25                 1170.10                 26.69                   41.9                    0.646                   0.592                   0.567                   0.484                   162.1                   
1170.50                 1170.41                 19.14                   40.0                    0.647                   0.649                   0.585                   0.594                   159.1                   
1170.75                 1170.71                 16.16                   49.4                    0.669                   0.661                   0.657                   0.608                   158.9                   
1171.00                 1171.02                 15.77                   39.1                    0.674                   0.642                   0.669                   0.570                   158.9                   
1171.25                 1171.32                 14.91                   49.9                    0.688                   0.645                   0.669                   0.596                   158.9                   
1171.50                 1171.48                 14.44                   59.6                    0.695                   0.723                   0.734                   0.720                   158.9                   
1171.75                 1171.63                 13.97                   54.1                    0.667                   0.676                   0.673                   0.589                   158.9                   
1172.00                 1171.93                 14.00                   55.4                    0.620                   0.608                   0.584                   0.503                   158.9                   
1172.25                 1172.24                 15.17                   62.1                    0.599                   0.584                   0.570                   0.466                   158.9                   
1172.50                 1172.54                 17.65                   60.0                    0.581                   0.569                   0.554                   0.448                   158.9                   
1172.75                 1172.85                 17.14                   47.6                    0.551                   0.541                   0.531                   0.463                   158.9                   
1173.00                 1172.98                 18.00                   45.1                    0.528                   0.536                   0.488                   0.359                   158.9                   
1173.25                 1173.15                 19.17                   47.8                    0.528                   0.536                   0.483                   0.363                   158.9                   
1173.50                 1173.46                 19.39                   41.2                    0.527                   0.539                   0.473                   0.340                   158.9                   
1173.75                 1173.76                 18.37                   35.7                    0.528                   0.546                   0.479                   0.324                   158.9                   
1174.00                 1174.07                 20.06                   38.9                    0.528                   0.555                   0.480                   0.334                   159.3                   
1174.25                 1174.23                 18.76                   38.1                    0.527                   0.555                   0.438                   0.299                   159.8                   
1174.50                 1174.37                 17.59                   37.7                    0.525                   0.551                   0.423                   0.304                   161.3                   
1174.75                 1174.68                 14.07                   31.8                    0.525                   0.546                   0.419                   0.294                   160.0                   
1175.00                 1174.98                 12.87                   28.7                    0.531                   0.562                   0.382                   0.290                   160.9                   
1175.25                 1175.29                 9.98                    30.5                    0.533                   0.576                   0.356                   0.278                   161.4                   
1175.50                 1175.59                 10.31                   30.8                    0.551                   0.580                   0.329                   0.256                   162.5                   
1175.75                 1175.73                 9.47                    30.5                    0.536                   0.578                   0.322                   0.251                   162.5                   
1176.00                 1175.90                 8.44                    32.0                    0.541                   0.568                   0.405                   0.324                   162.5                   
1176.25                 1176.20                 8.36                    29.2                    0.571                   0.585                   0.498                   0.502                   162.5                   
1176.50                 1176.51                 8.00                    29.3                    0.563                   0.586                   0.432                   0.454                   162.5                   
1176.75                 1176.81                 6.70                    30.6                    0.540                   0.600                   0.260                   0.303                   162.5                   
1177.00                 1176.98                 6.10                    30.0                    0.543                   0.600                   0.277                   0.325                   162.5                   
1177.25                 1177.12                 5.61                    29.5                    0.543                   0.601                   0.287                   0.372                   162.5                   
1177.50                 1177.42                 6.00                    29.0                    0.533                   0.598                   0.242                   0.335                   162.5                   
1177.75                 1177.72                 6.95                    28.1                    0.530                   0.594                   0.259                   0.378                   162.5                   
1178.00                 1178.03                 12.10                   26.0                    0.535                   0.574                   0.335                   0.435                   162.5                   
1178.25                 1178.33                 9.58                    24.4                    0.541                   0.564                   0.386                   0.436                   162.5                   
1178.50                 1178.48                 10.52                   25.6                    0.548                   0.567                   0.396                   0.472                   162.5                   
1178.75                 1178.64                 11.58                   27.4                    0.563                   0.582                   0.364                   0.417                   162.5                   
1179.00                 1178.94                 11.25                   28.3                    0.598                   0.621                   0.383                   0.284                   162.5                   
1179.25                 1179.25                 11.04                   27.7                    0.642                   0.680                   0.561                   0.507                   162.5                   
1179.50                 1179.55                 11.03                   41.6                    0.656                   0.650                   0.492                   0.537                   162.5                   
1179.75                 1179.73                 11.65                   56.1                    0.651                   0.666                   0.432                   0.567                   162.5                   
1180.00                 1179.86                 12.12                   33.2                    0.655                   0.744                   0.536                   0.820                   162.5                   
1180.25                 1180.16                 11.60                   24.8                    0.652                   0.745                   0.510                   0.837                   162.5                   
1180.50                 1180.47                 10.50                   24.3                    0.639                   0.686                   0.386                   0.657                   162.5                   
1180.75                 1180.77                 11.53                   24.2                    0.661                   0.700                   0.500                   0.697                   162.5                   
1181.00                 1181.08                 10.45                   24.0                    0.676                   0.706                   0.557                   0.666                   162.5                   
1181.25                 1181.23                 10.61                   24.8                    0.670                   0.705                   0.569                   0.739                   162.5                   
1181.50                 1181.38                 10.77                   27.0                    0.688                   0.712                   0.590                   0.713                   162.5                   
1181.75                 1181.69                 11.96                   26.0                    0.714                   0.721                   0.753                   0.684                   162.5                   
1182.00                 1181.99                 13.49                   24.2                    0.712                   0.721                   0.766                   0.708                   162.5                   
1182.25                 1182.30                 14.37                   37.8                    0.700                   0.677                   0.729                   0.671                   162.5                   
1182.50                 1182.60                 11.91                   43.0                    0.696                   0.664                   0.691                   0.618                   162.5                   
1182.75                 1182.73                 12.57                   48.3                    0.682                   0.653                   0.661                   0.625                   162.5                   
1183.00                 1182.91                 13.50                   40.5                    0.664                   0.657                   0.618                   0.639                   162.5                   
1183.25                 1183.21                 8.01                    39.8                    0.657                   0.654                   0.634                   0.687                   161.6                   
1183.50                 1183.52                 7.48                    45.6                    0.646                   0.606                   0.626                   0.547                   162.5                   
1183.75                 1183.82                 45.62                   51.1                    0.648                   0.636                   0.652                   0.613                   162.5                   
1184.00                 1183.98                 53.49                   44.5                    0.651                   0.618                   0.653                   0.610                   162.5                   
1184.25                 1184.13                 60.92                   51.5                    0.654                   0.593                   0.617                   0.543                   162.5                   
1184.50                 1184.43                 60.22                   45.8                    0.677                   0.610                   0.619                   0.536                   162.5                   
1184.75                 1184.74                 67.82                   45.5                    0.721                   0.701                   0.736                   0.691                   162.5                   
1185.00                 1185.04                 57.14                   54.4                    0.787                   0.778                   0.801                   0.735                   162.5                   
1185.25                 1185.34                 49.80                   68.2                    0.795                   0.787                   0.805                   0.733                   162.5                   
1185.50                 1185.48                 45.26                   62.4                    0.795                   0.790                   0.805                   0.732                   162.5                   
1185.75                 1185.65                 39.37                   70.2                    0.797                   0.802                   0.788                   0.715                   162.5                   
1186.00                 1185.95                 52.25                   87.0                    0.789                   0.789                   0.778                   0.709                   162.5                   
1186.25                 1186.26                 41.99                   83.2                    0.788                   0.792                   0.758                   0.689                   162.5                   
1186.50                 1186.56                 41.13                   83.9                    0.801                   0.857                   0.825                   0.788                   162.5                   
1186.75                 1186.73                 39.07                   80.8                    0.796                   0.843                   0.808                   0.782                   162.5                   
1187.00                 1186.87                 37.29                   81.4                    0.796                   0.866                   0.820                   0.797                   162.5                   
1187.25                 1187.17                 39.65                   77.1                    0.797                   0.895                   0.920                   1.007                   162.5                   
1187.50                 1187.48                 40.80                   69.7                    0.783                   0.874                   0.887                   0.973                   162.5                   
1187.75                 1187.78                 55.62                   62.8                    0.759                   0.717                   0.719                   0.603                   162.5                   
1188.00                 1188.09                 69.67                   63.1                    0.726                   0.670                   0.696                   0.604                   162.5                   
1188.25                 1188.23                 60.00                   62.4                    0.668                   0.652                   0.645                   0.583                   162.5                   
1188.50                 1188.39                 48.56                   59.1                    0.648                   0.638                   0.614                   0.522                   162.5                   
1188.75                 1188.70                 62.28                   59.1                    0.634                   0.630                   0.592                   0.462                   162.5                   
1189.00                 1189.00                 65.10                   51.3                    0.633                   0.628                   0.590                   0.460                   162.5                   
1189.25                 1189.31                 55.12                   52.3                    0.626                   0.627                   0.591                   0.464                   162.5                   
1189.50                 1189.48                 54.52                   52.4                    0.621                   0.627                   0.596                   0.473                   162.5                   
1189.75                 1189.61                 54.05                   51.9                    0.608                   0.613                   0.592                   0.461                   162.5                   
1190.00                 1189.92                 30.52                   53.1                    0.606                   0.606                   0.570                   0.439                   162.5                   
1190.25                 1190.22                 25.13                   51.2                    0.598                   0.591                   0.565                   0.414                   162.5                   
1190.50                 1190.53                 18.01                   48.8                    0.600                   0.592                   0.560                   0.421                   162.5                   
1190.75                 1190.83                 15.74                   47.5                    0.594                   0.584                   0.549                   0.400                   162.5                   
1191.00                 1190.98                 16.13                   49.9                    0.594                   0.584                   0.551                   0.402                   162.5                   
1191.25                 1191.14                 16.56                   44.6                    0.592                   0.580                   0.549                   0.430                   162.5                   
1191.50                 1191.44                 18.79                   44.3                    0.592                   0.576                   0.545                   0.427                   162.5                   
1191.75                 1191.75                 20.39                   42.5                    0.591                   0.575                   0.534                   0.403                   162.5                   
1192.00                 1192.05                 26.88                   43.4                    0.591                   0.574                   0.539                   0.416                   162.5                   
1192.25                 1192.23                 26.13                   46.7                    0.590                   0.573                   0.529                   0.394                   162.5                   
1192.50                 1192.35                 25.60                   41.7                    0.591                   0.573                   0.541                   0.444                   162.5                   
1192.75                 1192.66                 32.21                   46.3                    0.591                   0.574                   0.541                   0.435                   162.5                   
1193.00                 1192.96                 47.48                   42.5                    0.600                   0.572                   0.532                   0.425                   162.5                   
1193.25                 1193.27                 42.27                   43.1                    0.598                   0.573                   0.536                   0.452                   162.5                   
1193.50                 1193.57                 56.68                   50.2                    0.620                   0.591                   0.545                   0.455                   162.5                   
1193.75                 1193.73                 57.72                   50.3                    0.694                   0.727                   0.653                   0.600                   162.5                   
1194.00                 1193.88                 58.74                   52.1                    0.712                   0.709                   0.572                   0.583                   162.5                   
1194.25                 1194.18                 62.21                   67.4                    0.710                   0.713                   0.633                   0.569                   162.5                   
1194.50                 1194.49                 74.04                   60.4                    0.681                   0.679                   0.529                   0.500                   162.5                   
1194.75                 1194.79                 83.37                   73.0                    0.663                   0.704                   0.510                   0.611                   162.5                   
1195.00                 1195.10                 72.76                   53.1                    0.659                   0.671                   0.556                   0.523                   162.5                   
1195.25                 1195.23                 61.68                   30.0                    0.643                   0.687                   0.388                   0.463                   162.5                   
1195.50                 1195.40                 46.62                   29.9                    0.650                   0.687                   0.452                   0.538                   162.5                   
1195.75                 1195.71                 20.69                   58.4                    0.638                   0.679                   0.489                   0.550                   162.5                   
1196.00                 1196.01                 7.30                    28.6                    0.624                   0.658                   0.438                   0.510                   162.5                   
1196.25                 1196.32                 6.53                    29.1                    0.589                   0.629                   0.370                   0.455                   162.5                   
1196.50                 1196.48                 5.85                    32.9                    0.568                   0.635                   0.224                   0.348                   163.2                   
1196.75                 1196.62                 5.23                    34.3                    0.557                   0.634                   0.178                   0.288                   162.5                   
1197.00                 1196.93                 5.47                    33.4                    0.575                   0.636                   0.241                   0.370                   162.5                   
1197.25                 1197.23                 8.06                    32.8                    0.584                   0.653                   0.216                   0.372                   162.5                   
1197.50                 1197.54                 12.33                   33.1                    0.609                   0.679                   0.234                   0.389                   162.5                   
1197.75                 1197.84                 14.39                   30.9                    0.670                   0.763                   0.308                   0.522                   163.4                   
1198.00                 1197.98                 14.23                   31.3                    0.717                   0.823                   0.329                   0.510                   164.5                   
1198.25                 1198.15                 14.03                   30.2                    0.746                   0.831                   0.415                   0.610                   164.5                   
1198.50                 1198.45                 12.16                   29.4                    0.749                   0.820                   0.407                   0.554                   165.9                   
1198.75                 1198.76                 11.17                   30.7                    0.733                   0.812                   0.376                   0.550                   165.9                   
1199.00                 1199.06                 13.42                   29.9                    0.706                   0.804                   0.326                   0.541                   165.9                   
1199.25                 1199.23                 13.49                   27.4                    0.679                   0.780                   0.278                   0.500                   165.9                   
1199.50                 1199.37                 13.55                   26.7                    0.665                   0.763                   0.283                   0.514                   165.9                   
1199.75                 1199.67                 15.51                   28.2                    0.660                   0.760                   0.253                   0.515                   165.9                   
1200.00                 1199.97                 17.00                   27.5                    0.647                   0.742                   0.257                   0.498                   165.9                   
1200.25                 1200.28                 15.24                   28.6                    0.627                   0.718                   0.209                   0.403                   165.9                   
1200.50                 1200.58                 11.85                   29.0                    0.619                   0.729                   0.225                   0.448                   165.9                   
1200.75                 1200.73                 10.88                   29.8                    0.616                   0.720                   0.212                   0.414                   165.9                   
1201.00                 1200.89                 9.78                    26.5                    0.604                   0.705                   0.176                   0.330                   165.9                   
1201.25                 1201.19                 9.15                    26.3                    0.602                   0.684                   0.214                   0.373                   165.9                   
1201.50                 1201.50                 11.19                   26.8                    0.588                   0.679                   0.187                   0.361                   165.9                   
1201.75                 1201.80                 13.86                   27.8                    0.586                   0.686                   0.188                   0.359                   165.9                   
1202.00                 1201.98                 16.02                   29.0                    0.576                   0.702                   0.090                   0.383                   165.9                   
1202.25                 1202.11                 17.65                   29.0                    0.580                   0.698                   0.120                   0.403                   165.9                   
1202.50                 1202.41                 15.60                   28.2                    0.569                   0.709                   0.080                   0.493                   165.9                   
1202.75                 1202.72                 15.13                   27.1                    0.569                   0.714                   0.085                   0.545                   165.9                   
1203.00                 1203.02                 21.07                   26.1                    0.573                   0.700                   0.130                   0.522                   165.9                   
1203.25                 1203.33                 17.99                   25.2                    0.559                   0.672                   0.156                   0.509                   165.9                   
1203.50                 1203.48                 17.21                   24.9                    0.537                   0.658                   0.050                   42247.637               165.9                   
1203.75                 1203.63                 16.40                   26.9                    0.525                   0.662                   0.052                   84495.109               165.9                   
1204.00                 1203.94                 13.22                   32.6                    0.524                   0.667                   0.059                   67596.149               165.9                   
1204.25                 1204.24                 15.17                   32.4                    0.525                   0.669                   0.053                   84495.109               165.9                   
1204.50                 1204.55                 22.61                   29.2                    0.535                   0.677                   0.064                   84495.109               165.9                   
1204.75                 1204.85                 17.20                   26.1                    0.544                   0.688                   0.064                   84495.109               165.9                   
1205.00                 1204.98                 17.13                   27.9                    0.577                   0.699                   0.118                   0.364                   165.9                   
1205.25                 1205.16                 17.02                   28.0                    0.621                   0.715                   0.315                   0.567                   165.9                   
1205.50                 1205.46                 17.79                   27.9                    0.658                   0.696                   0.575                   0.681                   165.9                   
1205.75                 1205.77                 18.17                   29.4                    0.656                   0.690                   0.543                   0.657                   165.9                   
1206.00                 1206.07                 22.81                   27.7                    0.655                   0.687                   0.529                   0.638                   165.9                   
1206.25                 1206.23                 19.69                   27.5                    0.655                   0.682                   0.531                   0.620                   165.9                   
1206.50                 1206.38                 16.73                   32.1                    0.655                   0.678                   0.534                   0.610                   165.9                   
1206.75                 1206.68                 15.11                   29.2                    0.637                   0.678                   0.515                   0.671                   165.9                   
1207.00                 1206.98                 14.95                   27.1                    0.624                   0.669                   0.468                   0.683                   165.9                   
1207.25                 1207.29                 14.20                   24.8                    0.628                   0.654                   0.431                   0.643                   165.9                   
1207.50                 1207.59                 12.85                   27.9                    0.655                   0.657                   0.449                   0.653                   165.9                   
1207.75                 1207.73                 13.57                   24.4                    0.707                   0.721                   0.505                   0.723                   165.9                   
1208.00                 1207.90                 14.52                   26.3                    0.845                   0.883                   0.660                   0.781                   165.9                   
1208.25                 1208.20                 15.30                   31.9                    0.931                   0.992                   0.829                   0.912                   165.9                   
1208.50                 1208.51                 17.13                   60.2                    0.971                   1.022                   0.929                   0.971                   165.9                   
1208.75                 1208.81                 16.86                   90.3                    1.054                   1.041                   1.004                   0.944                   165.9                   
1209.00                 1208.98                 18.66                   101.6                   1.140                   1.177                   1.161                   1.111                   165.9                   
1209.25                 1209.12                 20.22                   97.3                    0.862                   0.892                   0.788                   0.804                   165.9                   
1209.50                 1209.42                 18.70                   97.9                    1.062                   1.063                   1.074                   0.999                   165.9                   
1209.75                 1209.73                 18.49                   104.4                   0.682                   0.657                   0.631                   0.601                   165.9                   
1210.00                 1210.03                 20.10                   61.5                    0.634                   0.614                   0.608                   0.581                   165.9                   
1210.25                 1210.34                 24.88                   65.2                    0.597                   0.576                   0.573                   0.554                   165.9                   
1210.50                 1210.48                 21.85                   37.2                    0.598                   0.580                   0.573                   0.519                   165.9                   
1210.75                 1210.64                 18.25                   34.7                    0.611                   0.614                   0.565                   0.524                   165.9                   
1211.00                 1210.95                 11.25                   34.8                    0.625                   0.571                   0.595                   0.588                   163.6                   
1211.25                 1211.25                 12.32                   33.8                    0.628                   0.656                   0.597                   0.604                   162.5                   
1211.50                 1211.56                 16.93                   31.6                    0.622                   0.650                   0.542                   0.557                   162.5                   
1211.75                 1211.73                 20.18                   30.4                    0.616                   0.653                   0.471                   0.506                   162.5                   
1212.00                 1211.86                 22.77                   30.8                    0.618                   0.674                   0.498                   0.554                   162.5                   
1212.25                 1212.17                 26.86                   30.4                    0.614                   0.668                   0.512                   0.533                   162.5                   
1212.50                 1212.47                 21.60                   27.2                    0.604                   0.633                   0.496                   0.448                   162.5                   
1212.75                 1212.78                 17.71                   32.4                    0.594                   0.597                   0.488                   0.432                   162.5                   
1213.00                 1213.08                 14.50                   30.8                    0.588                   0.576                   0.463                   0.436                   162.5                   
1213.25                 1213.23                 14.92                   30.7                    0.590                   0.567                   0.463                   0.413                   162.5                   
1213.50                 1213.39                 15.38                   33.7                    0.603                   0.566                   0.478                   0.411                   162.9                   
1213.75                 1213.69                 14.51                   37.9                    0.619                   0.570                   0.479                   0.380                   165.6                   
1214.00                 1214.00                 14.51                   42.1                    0.632                   0.580                   0.507                   0.390                   165.9                   
1214.25                 1214.30                 14.97                   53.1                    0.672                   0.620                   0.524                   0.388                   165.9                   
1214.50                 1214.48                 15.86                   62.7                    0.688                   0.651                   0.587                   0.459                   165.9                   
1214.75                 1214.60                 16.50                   74.5                    0.707                   0.687                   0.659                   0.549                   165.9                   
1215.00                 1214.91                 17.81                   101.2                   0.759                   0.790                   0.767                   0.628                   165.9                   
1215.25                 1215.21                 22.19                   111.1                   0.802                   0.866                   0.776                   0.660                   165.9                   
1215.50                 1215.52                 31.89                   117.2                   0.813                   0.893                   0.883                   0.763                   165.9                   
1215.75                 1215.82                 37.81                   116.8                   0.834                   0.938                   0.890                   0.832                   165.9                   
1216.00                 1215.98                 41.69                   120.6                   0.840                   0.940                   0.878                   0.823                   165.9                   
1216.25                 1216.13                 45.56                   115.5                   0.843                   0.937                   0.876                   0.816                   165.9                   
1216.50                 1216.43                 45.85                   119.8                   0.836                   0.923                   0.855                   0.789                   165.9                   
1216.75                 1216.74                 45.14                   119.3                   0.827                   0.908                   0.850                   0.778                   165.9                   
1217.00                 1217.04                 45.02                   114.6                   0.797                   0.852                   0.835                   0.752                   165.9                   
1217.25                 1217.35                 43.23                   128.0                   0.774                   0.818                   0.698                   0.607                   165.9                   
1217.50                 1217.48                 44.16                   131.8                   0.735                   0.759                   0.570                   0.521                   165.9                   
1217.75                 1217.65                 45.43                   130.2                   0.724                   0.742                   0.521                   0.472                   165.9                   
1218.00                 1217.96                 44.55                   103.7                   0.694                   0.698                   0.473                   0.502                   165.9                   
1218.25                 1218.26                 42.29                   75.3                    0.661                   0.647                   0.445                   0.518                   165.9                   
1218.50                 1218.57                 44.93                   64.0                    0.651                   0.640                   0.429                   0.514                   165.9                   
1218.75                 1218.73                 44.41                   50.5                    0.640                   0.634                   0.424                   0.531                   165.9                   
1219.00                 1218.87                 43.94                   45.6                    0.618                   0.622                   0.473                   0.563                   165.9                   
1219.25                 1219.18                 43.31                   39.3                    0.611                   0.620                   0.432                   0.536                   165.9                   
1219.50                 1219.48                 47.40                   40.4                    0.604                   0.617                   0.460                   0.540                   165.9                   
1219.75                 1219.79                 46.83                   46.2                    0.593                   0.606                   0.443                   0.504                   165.9                   
1220.00                 1220.09                 49.27                   60.2                    0.591                   0.603                   0.416                   0.431                   165.9                   
1220.25                 1220.23                 49.25                   63.2                    0.580                   0.594                   0.408                   0.405                   165.9                   
1220.50                 1220.40                 49.23                   45.7                    0.578                   0.593                   0.390                   0.390                   165.9                   
1220.75                 1220.70                 47.04                   37.7                    0.574                   0.593                   0.352                   0.365                   165.9                   
1221.00                 1221.01                 46.81                   30.6                    0.581                   0.594                   0.355                   0.374                   165.9                   
