********************************************************************************

Well:		BILABRI D4
Path:		Original Path
Hole:		
Start:		1200.00(m)
End:			1429.00(m)
Date/Time:	Monday, December 18, 2006 /02:35:00
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

1219.75                 1219.73                 27.05                   28.2                    0.717                   0.841                   126.7                   
1220.00                 1219.98                 24.64                   29.4                    0.706                   0.793                   126.8                   
1220.25                 1220.23                 22.22                   37.6                    0.690                   0.733                   126.9                   
1220.50                 1220.48                 19.81                   39.0                    0.675                   0.684                   127.0                   
1220.75                 1220.73                 17.40                   40.9                    0.667                   0.660                   127.0                   
1221.00                 1220.98                 14.99                   42.9                    0.662                   0.639                   127.1                   
1221.25                 1221.23                 12.57                   46.3                    0.658                   0.624                   127.2                   
1221.50                 1221.48                 10.16                   46.5                    0.663                   0.540                   127.3                   
1221.75                 1221.73                 7.75                    46.8                    0.661                   0.543                   127.3                   
1222.00                 1221.98                 5.33                    52.3                    0.657                   0.549                   127.4                   
1222.25                 1222.23                 2.92                    60.7                    0.651                   0.558                   127.5                   
1222.50                 1222.53                 0.00                    67.9                    0.660                   0.473                   127.5                   
1222.75                 1222.84                 19.28                   71.2                    0.677                   0.531                   127.6                   
1223.00                 1222.98                 63.00                   72.8                    0.698                   0.600                   127.7                   
1223.25                 1223.14                 112.86                  63.3                    0.719                   0.668                   127.8                   
1223.50                 1223.45                 282.19                  58.8                    0.736                   0.631                   127.8                   
1223.75                 1223.75                 405.68                  69.4                    0.736                   0.687                   127.9                   
1224.00                 1224.06                 491.17                  70.9                    0.737                   0.766                   128.0                   
1224.25                 1224.23                 632.87                  72.8                    0.722                   0.646                   128.1                   
1224.50                 1224.36                 740.54                  63.9                    0.725                   0.649                   128.1                   
1224.75                 1224.66                 859.96                  58.3                    0.730                   0.656                   128.2                   
1225.00                 1224.97                 796.32                  64.1                    0.734                   0.661                   128.3                   
1225.25                 1225.27                 797.32                  64.1                    0.759                   0.617                   128.4                   
1225.50                 1225.58                 878.67                  64.1                    0.745                   0.617                   128.4                   
1225.75                 1225.73                 817.09                  69.9                    0.742                   0.600                   128.5                   
1226.00                 1225.88                 752.86                  77.6                    0.737                   0.570                   128.6                   
1226.25                 1226.19                 705.29                  76.6                    0.745                   0.633                   128.6                   
1226.50                 1226.49                 648.71                  74.1                    0.756                   0.710                   128.7                   
1226.75                 1226.80                 590.76                  70.8                    0.764                   0.766                   128.8                   
1227.00                 1227.10                 573.87                  68.4                    0.782                   0.736                   128.9                   
1227.25                 1227.23                 540.79                  73.7                    0.790                   0.741                   128.9                   
1227.50                 1227.41                 493.33                  68.4                    0.795                   0.749                   129.0                   
1227.75                 1227.71                 381.72                  71.1                    0.805                   0.773                   129.1                   
1228.00                 1228.02                 329.73                  74.5                    0.813                   0.793                   129.1                   
1228.25                 1228.32                 355.93                  77.1                    0.800                   0.761                   129.1                   
1228.50                 1228.48                 381.69                  73.5                    0.791                   0.740                   129.2                   
1228.75                 1228.63                 406.26                  70.8                    0.783                   0.726                   129.2                   
1229.00                 1228.93                 415.80                  67.5                    0.776                   0.716                   129.3                   
1229.25                 1229.24                 393.75                  70.1                    0.778                   0.646                   129.3                   
1229.50                 1229.54                 387.73                  73.7                    0.795                   0.716                   129.4                   
1229.75                 1229.85                 373.23                  72.5                    0.813                   0.827                   129.4                   
1230.00                 1229.98                 396.21                  71.3                    0.804                   0.826                   129.5                   
1230.25                 1230.15                 426.30                  89.1                    0.793                   0.772                   129.5                   
1230.50                 1230.46                 401.13                  84.3                    0.779                   0.708                   129.6                   
1230.75                 1230.76                 407.10                  80.7                    0.800                   0.624                   129.6                   
1231.00                 1231.07                 409.05                  76.0                    0.954                   0.698                   129.6                   
1231.25                 1231.23                 417.20                  70.8                    1.094                   0.766                   129.7                   
1231.50                 1231.37                 424.31                  78.0                    1.566                   2.390                   129.7                   
1231.75                 1231.68                 398.77                  96.8                    2.295                   3.154                   129.8                   
1232.00                 1231.98                 398.03                  82.6                    2.363                   3.208                   129.8                   
1232.25                 1232.28                 413.66                  61.2                    2.459                   3.285                   129.9                   
1232.50                 1232.59                 409.75                  71.8                    2.555                   3.361                   129.9                   
1232.75                 1232.73                 400.10                  63.5                    2.651                   3.437                   130.0                   
1233.00                 1232.89                 388.56                  52.8                    2.746                   3.514                   130.0                   
1233.25                 1233.20                 405.53                  49.0                    2.842                   3.590                   130.1                   
1233.50                 1233.50                 391.70                  47.7                    2.938                   3.667                   130.1                   
1233.75                 1233.81                 380.37                  43.0                    3.034                   3.743                   130.1                   
1234.00                 1233.98                 373.05                  39.4                    3.130                   3.820                   130.2                   
1234.25                 1234.11                 367.22                  35.8                    3.226                   3.896                   130.2                   
1234.50                 1234.42                 389.88                  32.2                    3.322                   3.973                   130.3                   
1234.75                 1234.72                 417.16                  28.5                    3.387                   4.025                   130.3                   
1235.00                 1235.03                 381.62                  24.9                    2.956                   4.977                   130.4                   
1235.25                 1235.33                 403.81                  21.3                    2.629                   5.699                   130.4                   
1235.50                 1235.48                 398.96                  15.9                    2.187                   6.674                   130.5                   
1235.75                 1235.64                 393.66                  18.4                    1.917                   5.049                   130.5                   
1236.00                 1235.94                 379.98                  23.1                    1.437                   2.158                   130.6                   
1236.25                 1236.25                 372.74                  29.4                    1.280                   1.814                   130.6                   
1236.50                 1236.55                 345.86                  27.4                    1.093                   1.406                   130.7                   
1236.75                 1236.73                 340.91                  24.3                    0.906                   0.998                   130.7                   
1237.00                 1236.86                 337.30                  21.7                    0.784                   0.732                   130.7                   
1237.25                 1237.16                 332.22                  17.8                    0.716                   0.692                   130.8                   
1237.50                 1237.47                 312.75                  13.0                    0.687                   0.637                   130.8                   
1237.75                 1237.77                 280.22                  16.9                    0.663                   0.590                   130.9                   
1238.00                 1238.08                 260.72                  24.1                    0.636                   0.540                   130.9                   
1238.25                 1238.23                 257.62                  23.9                    0.622                   0.475                   131.0                   
1238.50                 1238.38                 254.53                  23.8                    0.602                   0.381                   131.0                   
1238.75                 1238.69                 257.93                  23.6                    0.593                   0.387                   131.1                   
1239.00                 1238.99                 244.05                  24.0                    0.580                   0.396                   131.1                   
1239.25                 1239.29                 221.40                  24.3                    0.566                   0.406                   131.2                   
1239.50                 1239.60                 141.70                  24.6                    0.557                   0.412                   131.2                   
1239.75                 1239.73                 115.46                  22.9                    0.554                   0.395                   131.2                   
1240.00                 1239.90                 79.39                   20.7                    0.553                   0.388                   131.3                   
1240.25                 1240.21                 34.94                   20.4                    0.549                   0.359                   131.3                   
1240.50                 1240.51                 95.02                   19.8                    0.546                   0.339                   131.4                   
1240.75                 1240.82                 183.07                  19.1                    0.544                   0.318                   131.4                   
1241.00                 1240.98                 248.96                  18.5                    0.541                   0.298                   131.5                   
1241.25                 1241.12                 309.22                  17.8                    0.538                   0.278                   131.5                   
1241.50                 1241.43                 317.06                  16.9                    0.536                   0.258                   131.6                   
1241.75                 1241.73                 22.28                   16.7                    0.532                   0.232                   131.6                   
1242.00                 1242.04                 36.10                   16.3                    0.540                   0.271                   131.7                   
1242.25                 1242.34                 34.81                   15.9                    0.552                   0.325                   131.7                   
1242.50                 1242.48                 38.19                   15.4                    0.562                   0.373                   131.7                   
1242.75                 1242.65                 42.43                   19.3                    0.572                   0.296                   131.7                   
1243.00                 1242.95                 44.23                   24.2                    0.567                   0.335                   131.7                   
1243.25                 1243.26                 42.60                   27.5                    0.559                   0.395                   131.7                   
1243.50                 1243.56                 42.47                   19.3                    0.550                   0.468                   131.7                   
1243.75                 1243.73                 41.11                   15.4                    0.549                   0.425                   131.7                   
1244.00                 1243.87                 39.97                   21.7                    0.551                   0.358                   131.7                   
1244.25                 1244.17                 39.86                   22.8                    0.557                   0.261                   131.7                   
1244.50                 1244.48                 38.42                   31.2                    0.564                   0.280                   131.7                   
1244.75                 1244.78                 41.03                   33.2                    0.579                   0.318                   131.7                   
1245.00                 1245.09                 37.96                   35.3                    0.593                   0.355                   131.7                   
1245.25                 1245.23                 37.00                   37.4                    0.608                   0.393                   131.7                   
1245.50                 1245.39                 35.89                   39.5                    0.629                   0.448                   131.7                   
1245.75                 1245.70                 28.96                   41.5                    0.632                   0.483                   131.7                   
1246.00                 1246.00                 29.91                   36.2                    0.638                   0.547                   131.7                   
1246.25                 1246.30                 32.69                   31.2                    0.644                   0.611                   131.7                   
1246.50                 1246.48                 34.39                   26.2                    0.650                   0.675                   131.7                   
1246.75                 1246.61                 35.69                   19.8                    0.656                   0.740                   131.7                   
1247.00                 1246.91                 37.26                   19.9                    0.661                   0.793                   131.7                   
1247.25                 1247.22                 37.44                   20.0                    0.673                   0.756                   131.7                   
1247.50                 1247.52                 37.31                   20.1                    0.684                   0.723                   131.7                   
1247.75                 1247.83                 36.11                   20.2                    0.696                   0.684                   131.7                   
1248.00                 1247.98                 35.94                   20.3                    0.695                   0.675                   131.7                   
1248.25                 1248.13                 35.76                   20.5                    0.693                   0.665                   131.7                   
1248.50                 1248.44                 43.05                   20.7                    0.691                   0.654                   131.7                   
1248.75                 1248.74                 56.94                   20.8                    0.689                   0.639                   131.7                   
1249.00                 1249.05                 74.83                   21.0                    0.690                   0.647                   131.7                   
1249.25                 1249.23                 47.91                   21.2                    0.693                   0.665                   131.7                   
1249.50                 1249.35                 29.15                   21.3                    0.696                   0.682                   129.0                   
1249.75                 1249.66                 10.65                   21.5                    0.699                   0.699                   129.0                   
1250.00                 1249.96                 9.90                    21.6                    0.702                   0.717                   129.1                   
1250.25                 1250.27                 19.33                   21.7                    0.706                   0.740                   129.1                   
1250.50                 1250.57                 25.73                   23.4                    0.695                   0.729                   129.2                   
1250.75                 1250.73                 29.00                   24.5                    0.679                   0.710                   129.2                   
1251.00                 1250.88                 32.14                   25.7                    0.663                   0.692                   129.2                   
1251.25                 1251.18                 31.82                   26.8                    0.646                   0.674                   129.3                   
1251.50                 1251.49                 31.14                   27.9                    0.630                   0.655                   129.3                   
1251.75                 1251.79                 29.72                   28.9                    0.613                   0.637                   129.3                   
1252.00                 1252.10                 22.27                   26.3                    0.596                   0.617                   129.4                   
1252.25                 1252.23                 20.01                   23.9                    0.593                   0.578                   129.4                   
1252.50                 1252.40                 17.03                   21.6                    0.589                   0.516                   129.5                   
1252.75                 1252.71                 13.84                   18.3                    0.591                   0.525                   129.5                   
1253.00                 1253.01                 70.40                   24.6                    0.596                   0.540                   129.5                   
1253.25                 1253.31                 98.97                   34.8                    0.600                   0.556                   129.6                   
1253.50                 1253.48                 88.64                   45.0                    0.604                   0.571                   129.6                   
1253.75                 1253.62                 79.59                   55.2                    0.609                   0.587                   129.6                   
1254.00                 1253.92                 87.75                   62.2                    0.613                   0.603                   129.7                   
1254.25                 1254.23                 86.10                   68.2                    0.622                   0.578                   129.7                   
1254.50                 1254.53                 77.77                   72.8                    0.630                   0.552                   129.8                   
1254.75                 1254.84                 62.57                   77.6                    0.648                   0.597                   129.8                   
1255.00                 1254.98                 61.35                   78.3                    0.665                   0.641                   129.8                   
1255.25                 1255.14                 59.88                   79.5                    0.685                   0.692                   129.9                   
1255.50                 1255.45                 58.35                   80.6                    0.712                   0.708                   129.9                   
1255.75                 1255.75                 61.48                   82.9                    0.753                   0.732                   129.9                   
1256.00                 1256.06                 63.58                   84.8                    0.783                   0.755                   130.0                   
1256.25                 1256.23                 63.23                   84.8                    0.826                   0.788                   130.0                   
1256.50                 1256.36                 62.94                   84.8                    0.869                   0.821                   130.1                   
1256.75                 1256.67                 47.12                   87.7                    0.895                   0.841                   130.1                   
1257.00                 1256.97                 53.85                   92.3                    0.901                   0.898                   130.1                   
1257.25                 1257.28                 51.05                   97.8                    0.904                   0.923                   130.2                   
1257.50                 1257.58                 65.37                   91.8                    0.890                   0.793                   130.2                   
1257.75                 1257.73                 73.13                   82.9                    0.913                   0.849                   130.2                   
1258.00                 1257.89                 81.66                   96.8                    0.947                   0.934                   130.3                   
1258.25                 1258.19                 85.94                   98.8                    1.026                   0.967                   130.3                   
1258.50                 1258.50                 95.21                   92.5                    1.124                   1.009                   130.4                   
1258.75                 1258.80                 86.35                   87.7                    1.223                   1.050                   130.4                   
1259.00                 1258.98                 87.68                   83.2                    1.321                   1.091                   130.4                   
1259.25                 1259.11                 88.65                   79.2                    1.419                   1.133                   130.5                   
1259.50                 1259.41                 85.06                   75.2                    1.517                   1.174                   130.5                   
1259.75                 1259.71                 72.85                   71.3                    1.592                   1.206                   130.5                   
1260.00                 1260.02                 67.11                   67.3                    4.162                   7.090                   130.6                   
1260.25                 1260.32                 67.97                   63.3                    4.428                   3.922                   130.6                   
1260.50                 1260.48                 64.38                   57.6                    4.431                   4.310                   130.7                   
1260.75                 1260.63                 60.77                   57.7                    4.435                   4.698                   130.7                   
1261.00                 1260.93                 53.88                   58.0                    4.438                   5.086                   130.7                   
1261.25                 1261.24                 62.30                   58.4                    4.441                   5.474                   130.8                   
1261.50                 1261.54                 72.16                   58.7                    4.444                   5.862                   130.8                   
1261.75                 1261.85                 80.18                   59.0                    4.447                   6.250                   130.8                   
1262.00                 1261.98                 74.95                   59.3                    4.450                   6.638                   130.9                   
1262.25                 1262.15                 67.72                   59.6                    4.454                   7.026                   130.9                   
1262.50                 1262.46                 56.52                   60.0                    4.457                   7.414                   131.0                   
1262.75                 1262.76                 42.72                   60.3                    4.460                   7.802                   131.0                   
1263.00                 1263.07                 38.62                   60.6                    4.463                   8.190                   131.0                   
1263.25                 1263.23                 37.14                   60.9                    4.466                   8.578                   131.1                   
1263.50                 1263.37                 35.77                   61.2                    4.469                   8.966                   131.1                   
1263.75                 1263.68                 33.72                   61.6                    4.474                   9.485                   131.2                   
1264.00                 1263.98                 33.43                   61.9                    4.114                   8.616                   131.2                   
1264.25                 1264.29                 30.67                   62.2                    3.573                   7.308                   131.2                   
1264.50                 1264.59                 33.11                   62.5                    3.032                   6.001                   131.3                   
1264.75                 1264.73                 34.18                   62.8                    2.491                   4.693                   131.3                   
1265.00                 1264.90                 35.52                   63.1                    1.950                   3.386                   131.3                   
1265.25                 1265.20                 36.12                   62.6                    1.409                   2.078                   131.4                   
1265.50                 1265.51                 42.18                   62.2                    1.101                   1.336                   131.4                   
1265.75                 1265.81                 19.59                   61.8                    0.960                   1.125                   131.5                   
1266.00                 1265.98                 19.61                   61.4                    0.862                   0.978                   131.5                   
1266.25                 1266.11                 19.63                   60.9                    0.763                   0.831                   131.5                   
1266.50                 1266.42                 22.04                   60.5                    0.664                   0.684                   131.6                   
1266.75                 1266.72                 26.36                   60.2                    0.610                   0.603                   131.6                   
1267.00                 1267.03                 34.24                   61.8                    0.603                   0.594                   131.6                   
1267.25                 1267.33                 34.65                   63.0                    0.598                   0.587                   131.7                   
1267.50                 1267.48                 34.50                   64.2                    0.593                   0.581                   131.7                   
1267.75                 1267.64                 34.33                   65.4                    0.588                   0.574                   131.9                   
1268.00                 1267.94                 33.24                   66.0                    0.583                   0.567                   132.1                   
1268.25                 1268.25                 28.54                   63.9                    0.576                   0.558                   132.3                   
1268.50                 1268.48                 25.45                   62.4                    0.576                   0.561                   132.5                   
1268.75                 1268.73                 22.04                   60.9                    0.578                   0.570                   132.7                   
1269.00                 1268.98                 18.64                   59.5                    0.576                   0.567                   132.9                   
1269.25                 1269.16                 16.10                   58.3                    0.573                   0.561                   133.1                   
1269.50                 1269.48                 20.96                   58.0                    0.570                   0.554                   133.4                   
1269.75                 1269.73                 24.85                   57.8                    0.567                   0.546                   133.6                   
1270.00                 1269.98                 28.74                   56.7                    0.566                   0.547                   133.8                   
1270.25                 1270.23                 32.63                   55.8                    0.566                   0.549                   134.0                   
1270.50                 1270.48                 36.52                   54.9                    0.566                   0.552                   134.2                   
1270.75                 1270.69                 39.81                   54.8                    0.576                   0.558                   134.5                   
1271.00                 1270.99                 29.49                   54.6                    0.585                   0.564                   134.5                   
1271.25                 1271.30                 21.56                   54.5                    0.594                   0.570                   134.5                   
1271.50                 1271.47                 16.99                   60.4                    0.636                   0.603                   134.5                   
1271.75                 1271.60                 13.79                   67.3                    0.667                   0.638                   134.5                   
1272.00                 1271.91                 29.45                   74.2                    0.701                   0.676                   134.5                   
1272.25                 1272.21                 68.42                   74.2                    0.743                   0.793                   134.6                   
1272.50                 1272.51                 50.77                   74.2                    0.758                   0.768                   134.6                   
1272.75                 1272.82                 72.95                   74.2                    0.775                   0.740                   134.7                   
1273.00                 1272.97                 74.36                   74.2                    0.767                   0.784                   134.7                   
1273.25                 1273.12                 75.72                   74.2                    0.762                   0.789                   134.7                   
1273.50                 1273.43                 96.20                   80.5                    0.757                   0.793                   134.8                   
1273.75                 1273.73                 72.35                   79.6                    0.741                   0.719                   134.8                   
1274.00                 1274.04                 80.94                   78.3                    0.727                   0.653                   134.9                   
1274.25                 1274.34                 101.24                  77.6                    0.731                   0.673                   134.9                   
1274.50                 1274.47                 113.95                  79.6                    0.735                   0.693                   135.0                   
1274.75                 1274.65                 130.77                  80.9                    0.739                   0.708                   135.0                   
1275.00                 1274.95                 121.48                  83.9                    0.762                   0.749                   135.1                   
1275.25                 1275.26                 111.55                  88.2                    0.780                   0.768                   135.1                   
1275.50                 1275.56                 88.87                   87.6                    0.798                   0.787                   135.2                   
1275.75                 1275.72                 78.73                   86.2                    0.813                   0.803                   135.2                   
1276.00                 1275.87                 69.79                   85.0                    0.816                   0.784                   135.2                   
1276.25                 1276.17                 79.49                   82.4                    0.832                   0.741                   135.3                   
1276.50                 1276.48                 81.74                   88.2                    0.841                   0.716                   135.3                   
1276.75                 1276.78                 64.71                   89.4                    0.852                   0.934                   135.4                   
1277.00                 1277.09                 55.90                   92.0                    0.858                   0.843                   135.4                   
1277.25                 1277.22                 53.16                   90.6                    0.864                   0.758                   135.5                   
1277.50                 1277.39                 49.85                   89.1                    0.864                   0.758                   135.5                   
1277.75                 1277.70                 40.92                   88.7                    0.884                   0.837                   135.6                   
