********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.75(m)
End:			1640.25(m)
Date/Time:	Saturday, August 05, 2006 /08:22:37
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

439.75                  -999.25                 -999.25                 30.6                    -999.25                 -999.25                 
440.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.50                  -999.25                 0.00                    -999.25                 -999.25                 84495.109               
440.75                  -999.25                 0.00                    -999.25                 -999.25                 -999.25                 
441.00                  -999.25                 94.20                   32.7                    -999.25                 84495.109               
441.25                  -999.25                 141.15                  -999.25                 -999.25                 -999.25                 
441.50                  -999.25                 -999.25                 26.0                    -999.25                 -999.25                 
441.75                  -999.25                 204.07                  -999.25                 -999.25                 -999.25                 
442.00                  -999.25                 208.14                  -999.25                 1.661                   84495.109               
442.25                  -999.25                 205.01                  -999.25                 -999.25                 -999.25                 
442.50                  -999.25                 200.15                  -999.25                 0.103                   84495.109               
442.75                  -999.25                 197.97                  33.2                    0.103                   84495.109               
443.00                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
443.25                  -999.25                 199.43                  31.1                    -999.25                 -999.25                 
443.50                  -999.25                 192.64                  35.3                    -999.25                 -999.25                 
443.75                  -999.25                 188.05                  -999.25                 -999.25                 -999.25                 
444.00                  -999.25                 186.16                  -999.25                 -999.25                 -999.25                 
444.25                  -999.25                 -999.25                 -999.25                 -999.25                 84495.109               
444.50                  -999.25                 189.04                  -999.25                 0.103                   84495.109               
444.75                  -999.25                 188.10                  33.2                    -999.25                 84495.109               
445.00                  -999.25                 186.33                  38.6                    0.103                   84495.109               
445.25                  -999.25                 185.19                  38.0                    0.103                   84495.109               
445.50                  -999.25                 187.93                  -999.25                 0.103                   84495.109               
445.75                  -999.25                 -999.25                 36.9                    0.103                   84495.109               
446.00                  -999.25                 186.93                  32.3                    0.103                   84495.109               
446.25                  -999.25                 189.10                  37.4                    0.103                   84495.109               
446.50                  -999.25                 192.44                  33.4                    0.103                   -999.25                 
446.75                  -999.25                 200.87                  32.7                    0.103                   84495.109               
447.00                  -999.25                 -999.25                 33.2                    0.103                   12.777                  
447.25                  -999.25                 198.82                  33.6                    0.103                   23.778                  
447.50                  -999.25                 196.58                  31.1                    -999.25                 -999.25                 
447.75                  -999.25                 195.97                  -999.25                 -999.25                 -999.25                 
448.00                  -999.25                 200.17                  -999.25                 0.423                   21194.309               
448.25                  -999.25                 198.85                  30.5                    0.672                   28187.118               
448.50                  -999.25                 -999.25                 30.5                    0.809                   -999.25                 
448.75                  92.3                    199.42                  31.0                    0.733                   -999.25                 
449.00                  -999.25                 203.21                  -999.25                 0.746                   -999.25                 
449.25                  -999.25                 202.31                  -999.25                 -999.25                 -999.25                 
449.50                  -999.25                 200.30                  -999.25                 0.760                   -999.25                 
449.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
450.00                  -999.25                 203.77                  -999.25                 0.640                   -999.25                 
450.25                  -999.25                 200.04                  -999.25                 0.760                   -999.25                 
450.50                  -999.25                 196.05                  316.3                   -999.25                 -999.25                 
450.75                  -999.25                 191.67                  -999.25                 -999.25                 -999.25                 
451.00                  -999.25                 189.30                  -999.25                 -999.25                 -999.25                 
451.25                  -999.25                 -999.25                 238.1                   0.934                   -999.25                 
451.50                  -999.25                 191.45                  -999.25                 -999.25                 -999.25                 
451.75                  -999.25                 190.28                  -999.25                 -999.25                 -999.25                 
452.00                  -999.25                 189.04                  -999.25                 -999.25                 -999.25                 
452.25                  -999.25                 188.48                  -999.25                 0.701                   -999.25                 
452.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
452.75                  -999.25                 192.83                  -999.25                 0.359                   182.070                 
453.00                  -999.25                 192.47                  -999.25                 0.357                   182.070                 
453.25                  -999.25                 190.54                  -999.25                 -999.25                 -999.25                 
453.50                  -999.25                 193.16                  -999.25                 0.372                   182.070                 
453.75                  -999.25                 191.75                  -999.25                 -999.25                 -999.25                 
454.00                  -999.25                 -999.25                 276.4                   -999.25                 -999.25                 
454.25                  -999.25                 188.42                  -999.25                 -999.25                 182.070                 
454.50                  -999.25                 183.61                  -999.25                 -999.25                 182.070                 
454.75                  -999.25                 180.18                  -999.25                 0.363                   182.070                 
455.00                  -999.25                 175.47                  422.0                   -999.25                 -999.25                 
455.25                  -999.25                 178.02                  -999.25                 -999.25                 -999.25                 
455.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
455.75                  -999.25                 177.29                  -999.25                 -999.25                 -999.25                 
456.00                  -999.25                 175.09                  -999.25                 -999.25                 -999.25                 
456.25                  -999.25                 174.56                  89.8                    -999.25                 -999.25                 
456.50                  -999.25                 172.83                  -999.25                 0.490                   69.490                  
456.75                  -999.25                 -999.25                 236.9                   -999.25                 -999.25                 
457.00                  88.3                    -999.25                 -999.25                 0.217                   26.759                  
457.25                  -999.25                 -999.25                 235.3                   -999.25                 0.155                   
457.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
457.75                  -999.25                 174.43                  -999.25                 0.490                   69.490                  
458.00                  -999.25                 175.19                  310.4                   0.217                   13.457                  
458.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
458.50                  -999.25                 173.51                  235.3                   -999.25                 -999.25                 
458.75                  -999.25                 172.58                  -999.25                 -999.25                 -999.25                 
459.00                  -999.25                 170.76                  -999.25                 2849.472                -999.25                 
459.25                  -999.25                 174.05                  -999.25                 2849.472                171.860                 
459.50                  -999.25                 -999.25                 157.4                   -999.25                 -999.25                 
459.75                  -999.25                 173.64                  -999.25                 -999.25                 -999.25                 
460.00                  -999.25                 171.99                  -999.25                 -999.25                 -999.25                 
460.25                  -999.25                 171.15                  -999.25                 -999.25                 2.199                   
460.50                  -999.25                 152.42                  -999.25                 1.808                   112.616                 
460.75                  -999.25                 161.72                  224.6                   0.276                   84495.109               
461.00                  -999.25                 -999.25                 150.8                   0.205                   -999.25                 
461.25                  -999.25                 171.40                  -999.25                 -999.25                 -999.25                 
461.50                  -999.25                 171.39                  417.4                   17.492                  42247.761               
461.75                  -999.25                 170.01                  -999.25                 -999.25                 2.768                   
462.00                  -999.25                 169.10                  287.8                   0.267                   -999.25                 
462.25                  -999.25                 -999.25                 239.9                   -999.25                 -999.25                 
462.50                  -999.25                 168.23                  215.6                   -999.25                 -999.25                 
462.75                  -999.25                 171.21                  -999.25                 0.596                   2.131                   
463.00                  -999.25                 170.80                  -999.25                 -999.25                 -999.25                 
463.25                  -999.25                 169.70                  -999.25                 2.147                   21138.513               
463.50                  -999.25                 168.63                  286.1                   -999.25                 -999.25                 
463.75                  -999.25                 -999.25                 337.8                   2.558                   -999.25                 
464.00                  -999.25                 165.16                  -999.25                 0.980                   0.176                   
464.25                  -999.25                 165.59                  -999.25                 -999.25                 -999.25                 
464.50                  -999.25                 164.07                  272.9                   -999.25                 -999.25                 
464.75                  -999.25                 159.09                  -999.25                 -999.25                 -999.25                 
465.00                  -999.25                 153.90                  -999.25                 0.233                   116.415                 
465.25                  -999.25                 -999.25                 231.4                   -999.25                 -999.25                 
465.50                  -999.25                 -999.25                 277.1                   7.262                   416.846                 
465.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
466.00                  -999.25                 -999.25                 73.4                    -999.25                 -999.25                 
466.25                  -999.25                 -999.25                 -999.25                 0.543                   18.268                  
466.50                  -999.25                 -999.25                 -999.25                 2.799                   -999.25                 
466.75                  -999.25                 297.93                  -999.25                 0.840                   0.582                   
467.00                  -999.25                 539.02                  62.5                    -999.25                 -999.25                 
467.25                  -999.25                 579.05                  -999.25                 -999.25                 -999.25                 
467.50                  -999.25                 414.16                  -999.25                 0.866                   0.712                   
467.75                  -999.25                 533.79                  -999.25                 -999.25                 -999.25                 
468.00                  88.3                    -999.25                 60.0                    0.873                   0.779                   
