********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		Original Path Hole
Start:		1640.00(m)
End:			2913.00(m)
Date/Time:	Thursday, August 24, 2006 /15:59:50
********************************************************************************


DEPTH                   ROP_AVG                 GR1AX                   RACLX                   RPCHX                   NPLX                    BDCX                    DRHX                    TCDX                    TVD          
m                       m/hr                    API                     ohm.m                   ohm.m                   pu                      g/cc                    g/cc                    degF                    m          

1653.75                 15.34                   85.6                    0.822                   0.754                   64.51                   2.29                    0.07                    158.1                   1653.64                 
1654.00                 14.69                   87.1                    0.834                   0.754                   61.26                   2.29                    0.07                    165.3                   1653.89                 
1654.25                 14.05                   88.6                    1.044                   0.754                   61.69                   2.29                    0.07                    172.6                   1654.14                 
1654.50                 16.26                   87.7                    1.255                   0.754                   62.12                   2.30                    0.07                    179.9                   1654.39                 
1654.75                 16.79                   89.3                    1.465                   0.754                   61.49                   2.29                    0.06                    187.1                   1654.64                 
1655.00                 18.85                   90.8                    1.121                   0.745                   60.87                   2.28                    0.05                    194.4                   1654.89                 
1655.25                 11.22                   92.4                    0.777                   0.737                   60.24                   2.27                    0.04                    160.3                   1655.14                 
1655.50                 36.80                   89.3                    0.775                   0.737                   59.61                   2.28                    0.05                    126.3                   1655.39                 
1655.75                 62.38                   86.3                    0.773                   0.737                   71.94                   2.29                    0.05                    126.4                   1655.64                 
1656.00                 53.43                   88.5                    0.769                   0.737                   69.87                   2.30                    0.06                    126.5                   1655.89                 
1656.25                 95.28                   90.7                    0.760                   0.745                   67.81                   2.29                    0.05                    126.6                   1656.14                 
1656.50                 130.57                  92.9                    0.762                   0.741                   65.74                   2.27                    0.04                    126.7                   1656.39                 
1656.75                 141.37                  89.4                    0.763                   0.737                   61.51                   2.28                    0.05                    126.8                   1656.64                 
1657.00                 152.18                  86.0                    0.763                   0.737                   57.27                   2.28                    0.06                    126.8                   1656.89                 
1657.25                 4.06                    82.5                    0.763                   0.737                   60.58                   2.28                    0.06                    126.9                   1657.14                 
1657.50                 13.02                   85.3                    0.762                   0.737                   63.89                   2.29                    0.07                    127.0                   1657.39                 
1657.75                 114.06                  85.4                    0.762                   0.737                   73.07                   2.28                    0.06                    127.1                   1657.64                 
1658.00                 35.40                   85.5                    0.762                   0.737                   68.71                   2.27                    0.06                    127.2                   1657.89                 
1658.25                 53.26                   85.5                    0.761                   0.737                   64.99                   2.28                    0.07                    127.3                   1658.14                 
1658.50                 71.13                   85.6                    0.761                   0.737                   61.26                   2.28                    0.06                    127.4                   1658.39                 
1658.75                 58.50                   85.7                    0.759                   0.728                   61.26                   2.29                    0.06                    127.5                   1658.64                 
