********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		Original Path Hole
Start:		1640.00(m)
End:			2913.00(m)
Date/Time:	Thursday, August 24, 2006 /15:59:50
********************************************************************************


DEPTH                   ROP_AVG                 GR1AX                   RACLX                   RPCHX                   NPLX                    BDCX                    DRHX                    TCDX                    TVD          
m                       m/hr                    API                     ohm.m                   ohm.m                   pu                      g/cc                    g/cc                    degF                    m          

1789.00                 48.27                   52.5                    0.806                   0.838                   32.67                   1.57                    0.06                    117.0                   1788.30                 
1789.25                 49.00                   64.3                    0.845                   0.893                   32.54                   1.67                    0.06                    118.3                   1788.54                 
1789.50                 58.31                   63.8                    0.884                   0.948                   32.40                   1.77                    0.06                    119.7                   1788.79                 
1789.75                 70.13                   63.4                    0.627                   0.673                   32.27                   1.88                    0.07                    121.0                   1789.03                 
1790.00                 82.03                   62.9                    0.534                   0.657                   32.14                   1.98                    0.07                    122.3                   1789.28                 
1790.25                 85.06                   62.4                    0.442                   0.640                   32.00                   2.08                    0.07                    123.6                   1789.52                 
1790.50                 88.08                   62.0                    0.471                   0.624                   31.87                   2.09                    0.07                    124.9                   1789.77                 
1790.75                 95.66                   61.5                    0.500                   0.607                   31.73                   2.10                    0.07                    126.3                   1790.01                 
1791.00                 102.80                  63.6                    0.529                   0.590                   31.60                   2.10                    0.07                    127.6                   1790.26                 
1791.25                 79.61                   65.7                    0.558                   0.574                   31.46                   2.11                    0.07                    129.0                   1790.50                 
1791.50                 63.82                   67.8                    0.587                   0.557                   31.33                   2.12                    0.07                    130.4                   1790.75                 
1791.75                 57.75                   69.9                    2.802                   0.573                   31.19                   2.12                    0.07                    131.7                   1790.99                 
1792.00                 51.69                   68.5                    5.016                   0.589                   32.05                   2.13                    0.07                    133.1                   1791.24                 
1792.25                 47.75                   67.1                    7.231                   0.605                   32.90                   2.13                    0.07                    134.5                   1791.48                 
1792.50                 50.17                   65.7                    9.446                   0.621                   33.75                   2.14                    0.07                    135.8                   1791.73                 
1792.75                 49.15                   64.3                    11.661                  0.637                   34.60                   2.15                    0.07                    137.2                   1791.97                 
1793.00                 55.10                   64.6                    9.443                   0.589                   35.46                   2.15                    0.07                    138.5                   1792.22                 
1793.25                 61.04                   65.0                    7.226                   0.541                   33.48                   2.16                    0.07                    139.9                   1792.46                 
1793.50                 68.88                   65.3                    5.008                   0.493                   31.50                   2.17                    0.07                    141.3                   1792.71                 
1793.75                 81.63                   65.7                    2.791                   0.445                   29.52                   2.17                    0.07                    142.6                   1792.95                 
1794.00                 90.98                   66.0                    0.573                   0.397                   27.54                   2.18                    0.07                    144.0                   1793.20                 
1794.25                 91.57                   66.4                    0.571                   116.381                 25.56                   2.19                    0.07                    145.4                   1793.44                 
1794.50                 89.66                   66.7                    0.569                   232.366                 23.58                   2.19                    0.07                    145.7                   1793.69                 
1794.75                 87.76                   67.1                    0.566                   348.350                 21.61                   2.20                    0.07                    146.1                   1793.93                 
1795.00                 48.48                   67.2                    0.564                   464.334                 23.08                   2.20                    0.07                    146.5                   1794.17                 
1795.25                 37.42                   67.3                    0.654                   580.318                 24.55                   2.19                    0.07                    146.9                   1794.42                 
1795.50                 39.32                   67.4                    0.643                   1340.939                26.02                   2.18                    0.07                    147.3                   1794.66                 
1795.75                 40.21                   67.4                    0.633                   1005.853                27.49                   2.17                    0.07                    147.7                   1794.91                 
1796.00                 41.10                   67.5                    0.622                   670.767                 28.96                   2.15                    0.07                    148.1                   1795.15                 
1796.25                 39.26                   67.6                    0.611                   335.681                 30.43                   2.14                    0.07                    148.1                   1795.40                 
1796.50                 38.03                   67.7                    0.600                   0.595                   31.90                   2.13                    0.07                    148.1                   1795.64                 
1796.75                 41.62                   67.8                    0.759                   10.945                  33.37                   2.11                    0.07                    148.1                   1795.89                 
1797.00                 44.11                   67.9                    0.919                   21.295                  34.84                   2.09                    0.07                    148.1                   1796.13                 
1797.25                 39.60                   67.8                    1.078                   31.645                  36.31                   2.07                    0.07                    148.1                   1796.37                 
1797.50                 35.09                   67.7                    1.238                   41.995                  37.78                   2.04                    0.07                    148.1                   1796.62                 
1797.75                 33.33                   67.6                    1.397                   52.345                  39.25                   2.02                    0.07                    148.1                   1796.86                 
1798.00                 36.29                   67.5                    1.557                   62.695                  40.72                   2.00                    0.07                    150.4                   1797.11                 
1798.25                 52.06                   67.4                    1.716                   73.045                  42.34                   1.98                    0.07                    152.8                   1797.35                 
1798.50                 25.13                   67.3                    1.876                   83.395                  43.96                   1.95                    0.07                    155.2                   1797.59                 
1798.75                 24.50                   67.2                    0.550                   0.589                   45.58                   1.93                    0.07                    157.5                   1797.84                 
1799.00                 23.88                   67.1                    0.550                   0.558                   47.19                   1.91                    0.06                    159.9                   1798.08                 
1799.25                 22.41                   67.1                    0.550                   0.527                   48.81                   1.88                    0.06                    162.3                   1798.33                 
1799.50                 42.12                   67.0                    0.551                   0.529                   50.43                   1.86                    0.06                    164.7                   1798.57                 
1799.75                 45.04                   67.0                    0.551                   0.531                   48.97                   1.84                    0.06                    167.0                   1798.81                 
1800.00                 52.87                   66.9                    0.551                   0.533                   47.51                   1.81                    0.06                    169.4                   1799.06                 
1800.25                 60.69                   67.4                    0.551                   0.535                   46.05                   1.88                    0.06                    171.8                   1799.30                 
1800.50                 51.61                   67.9                    0.551                   0.537                   44.60                   1.94                    0.06                    174.1                   1799.55                 
1800.75                 46.43                   68.4                    0.551                   0.539                   43.14                   2.01                    0.06                    176.5                   1799.79                 
1801.00                 41.91                   68.9                    0.551                   0.541                   41.68                   2.07                    0.06                    178.9                   1800.03                 
1801.25                 34.42                   69.4                    0.551                   0.543                   40.02                   2.13                    0.06                    181.2                   1800.28                 
1801.50                 32.56                   69.9                    0.550                   0.545                   38.37                   2.13                    0.06                    183.6                   1800.52                 
1801.75                 30.71                   69.9                    0.550                   0.547                   36.72                   2.12                    0.06                    186.0                   1800.77                 
1802.00                 28.34                   69.9                    0.550                   0.549                   35.07                   2.11                    0.06                    188.3                   1801.01                 
1802.25                 30.18                   69.9                    0.549                   0.551                   33.41                   2.11                    0.06                    190.7                   1801.25                 
1802.50                 30.65                   69.9                    0.549                   0.553                   31.76                   2.10                    0.06                    193.1                   1801.50                 
1802.75                 32.94                   69.9                    0.549                   0.555                   30.11                   2.09                    0.06                    195.4                   1801.74                 
1803.00                 35.22                   69.9                    0.549                   0.557                   30.17                   2.08                    0.06                    197.8                   1801.98                 
1803.25                 37.36                   69.9                    0.551                   0.559                   30.23                   2.09                    0.05                    200.2                   1802.23                 
1803.50                 39.50                   69.9                    0.553                   0.562                   30.29                   2.09                    0.05                    202.5                   1802.47                 
1803.75                 41.64                   69.9                    0.555                   0.564                   30.35                   2.09                    0.05                    204.9                   1802.71                 
1804.00                 43.77                   69.9                    0.557                   0.566                   30.41                   2.10                    0.05                    207.3                   1802.96                 
1804.25                 45.91                   69.9                    0.560                   0.569                   30.47                   2.10                    0.04                    209.6                   1803.20                 
1804.50                 48.05                   69.9                    0.562                   0.571                   18.24                   2.10                    0.04                    212.0                   1803.44                 
1804.75                 50.19                   69.9                    0.564                   0.573                   6.02                    2.10                    0.04                    214.4                   1803.69                 
1805.00                 62.61                   69.9                    0.566                   0.576                   -6.20                   2.10                    0.04                    216.7                   1803.93                 
1805.25                 101.30                  69.9                    0.577                   0.585                   43.67                   2.10                    0.04                    219.1                   1804.17                 
1805.50                 120.38                  69.9                    0.587                   0.593                   41.32                   2.10                    0.04                    221.5                   1804.42                 
1805.75                 139.46                  69.9                    0.562                   0.602                   38.96                   2.10                    0.04                    223.8                   1804.66                 
1806.00                 170.86                  69.9                    0.558                   0.592                   36.60                   2.10                    0.04                    226.2                   1804.90                 
1806.25                 159.72                  71.3                    0.554                   0.582                   34.25                   2.14                    0.04                    228.6                   1805.15                 
1806.50                 123.04                  72.7                    0.553                   0.576                   33.74                   2.18                    0.03                    230.9                   1805.39                 
1806.75                 28.20                   74.1                    0.553                   0.570                   33.23                   2.22                    0.03                    233.3                   1805.63                 
1807.00                 26.65                   75.5                    0.552                   0.564                   32.72                   2.26                    0.03                    235.7                   1805.88                 
1807.25                 25.11                   76.6                    0.551                   0.557                   32.21                   2.30                    0.02                    238.0                   1806.12                 
1807.50                 28.35                   77.7                    0.551                   0.551                   31.70                   2.29                    0.03                    240.4                   1806.36                 
1807.75                 38.51                   78.8                    0.550                   0.545                   31.19                   2.28                    0.04                    242.8                   1806.60                 
1808.00                 44.64                   79.9                    0.558                   0.563                   30.74                   2.28                    0.05                    245.2                   1806.85                 
1808.25                 45.39                   81.1                    0.566                   0.581                   30.29                   2.27                    0.06                    247.5                   1807.09                 
1808.50                 46.15                   80.6                    0.574                   0.599                   29.84                   2.27                    0.07                    249.9                   1807.33                 
1808.75                 43.45                   80.0                    0.582                   0.617                   29.39                   2.26                    0.08                    252.3                   1807.58                 
1809.00                 46.05                   79.5                    0.590                   0.635                   29.79                   2.25                    0.09                    254.6                   1807.82                 
1809.25                 46.98                   79.0                    0.598                   0.653                   30.18                   2.25                    0.08                    257.0                   1808.06                 
1809.50                 47.52                   78.5                    0.606                   0.671                   30.57                   2.25                    0.08                    259.4                   1808.30                 
1809.75                 48.55                   78.0                    0.614                   0.689                   30.96                   2.25                    0.07                    261.7                   1808.55                 
1810.00                 49.57                   77.5                    0.609                   0.681                   31.36                   2.22                    0.06                    264.1                   1808.79                 
1810.25                 60.67                   77.0                    0.604                   0.674                   32.22                   2.19                    0.06                    266.5                   1809.03                 
1810.50                 75.17                   76.5                    0.599                   0.666                   33.08                   2.16                    0.05                    268.8                   1809.28                 
1810.75                 94.51                   76.0                    0.594                   0.658                   34.89                   2.12                    0.04                    271.2                   1809.52                 
1811.00                 96.68                   75.5                    0.622                   0.689                   36.71                   2.14                    0.05                    273.6                   1809.76                 
1811.25                 99.20                   80.6                    0.650                   0.720                   32.80                   2.16                    0.05                    275.9                   1810.00                 
1811.50                 101.71                  85.8                    0.677                   0.737                   28.90                   2.18                    0.06                    278.3                   1810.25                 
1811.75                 110.56                  90.0                    0.705                   0.754                   25.00                   2.19                    0.07                    280.7                   1810.49                 
1812.00                 117.31                  94.3                    0.733                   0.771                   21.09                   2.21                    0.07                    283.0                   1810.73                 
1812.25                 122.55                  91.6                    0.733                   0.772                   31.14                   2.23                    0.08                    285.4                   1810.97                 
1812.50                 123.92                  88.8                    0.733                   0.773                   41.20                   2.24                    0.09                    287.8                   1811.22                 
1812.75                 125.30                  86.1                    0.733                   0.774                   41.20                   2.16                    0.06                    290.1                   1811.46                 
1813.00                 92.12                   83.4                    0.733                   0.775                   41.20                   2.07                    0.04                    292.5                   1811.70                 
1813.25                 101.98                  80.7                    0.733                   0.776                   39.73                   2.30                    0.06                    294.9                   1811.94                 
1813.50                 116.20                  78.0                    0.733                   0.778                   38.26                   2.27                    0.05                    297.2                   1812.18                 
1813.75                 21.82                   75.2                    0.733                   0.779                   36.79                   2.25                    0.05                    299.6                   1812.43                 
1814.00                 19.94                   72.5                    0.733                   0.780                   35.32                   2.22                    0.05                    302.0                   1812.67                 
1814.25                 18.05                   69.8                    0.745                   0.797                   33.85                   2.20                    0.04                    304.3                   1812.91                 
1814.50                 40.27                   67.1                    0.757                   0.814                   33.09                   2.17                    0.04                    306.7                   1813.15                 
1814.75                 65.53                   66.8                    0.769                   0.831                   32.33                   2.20                    0.04                    309.1                   1813.39                 
1815.00                 36.82                   66.5                    0.781                   0.848                   31.56                   2.22                    0.04                    311.4                   1813.64                 
1815.25                 36.25                   66.1                    0.793                   0.865                   32.54                   2.18                    0.04                    313.8                   1813.88                 
1815.50                 35.68                   65.8                    0.767                   0.785                   33.51                   2.14                    0.05                    316.2                   1814.12                 
1815.75                 47.32                   65.5                    0.740                   0.705                   34.48                   2.10                    0.05                    318.5                   1814.36                 
1816.00                 33.24                   65.2                    0.738                   0.708                   35.46                   2.06                    0.06                    320.9                   1814.60                 
1816.25                 52.51                   64.9                    0.735                   0.711                   34.84                   2.01                    0.06                    323.3                   1814.85                 
1816.50                 75.15                   64.6                    0.732                   0.714                   37.05                   2.11                    0.06                    325.7                   1815.09                 
1816.75                 88.16                   65.3                    0.729                   0.717                   39.26                   2.21                    0.07                    328.0                   1815.33                 
1817.00                 101.17                  66.0                    0.727                   0.720                   41.46                   2.31                    0.07                    330.4                   1815.57                 
1817.25                 113.46                  66.7                    0.716                   0.743                   43.67                   2.27                    0.11                    332.8                   1815.81                 
1817.50                 118.76                  67.4                    0.706                   0.766                   39.33                   2.23                    0.15                    335.1                   1816.05                 
1817.75                 118.25                  59.6                    0.696                   0.789                   39.79                   2.20                    0.10                    337.5                   1816.30                 
1818.00                 105.60                  51.7                    0.686                   0.812                   40.25                   2.16                    0.06                    339.9                   1816.54                 
1818.25                 92.96                   43.9                    0.676                   0.835                   39.60                   2.21                    0.09                    342.2                   1816.78                 
1818.50                 73.70                   50.7                    0.728                   0.786                   38.95                   2.26                    0.12                    344.6                   1817.02                 
1818.75                 61.69                   57.5                    0.781                   0.737                   38.30                   2.23                    0.10                    347.0                   1817.26                 
1819.00                 33.46                   64.3                    0.173                   5.887                   37.64                   2.20                    0.08                    346.5                   1817.50                 
1819.25                 55.37                   67.8                    0.249                   3.428                   36.99                   2.16                    0.06                    346.0                   1817.75                 
1819.50                 70.15                   71.2                    0.324                   0.970                   36.34                   2.20                    0.04                    345.5                   1817.99                 
1819.75                 84.92                   74.7                    0.399                   0.909                   35.69                   2.23                    0.05                    345.0                   1818.23                 
1820.00                 82.21                   78.2                    0.474                   0.848                   35.03                   2.26                    0.06                    344.5                   1818.47                 
1820.25                 60.96                   81.7                    0.549                   0.788                   34.38                   2.30                    0.07                    344.0                   1818.71                 
1820.50                 48.93                   85.1                    0.624                   0.727                   33.73                   2.18                    0.06                    343.5                   1818.95                 
1820.75                 50.58                   88.6                    0.699                   0.666                   33.08                   2.07                    0.06                    343.0                   1819.19                 
1821.00                 52.23                   79.4                    0.688                   0.706                   35.23                   1.96                    0.05                    342.5                   1819.43                 
1821.25                 64.57                   70.2                    0.677                   0.745                   37.38                   1.84                    0.04                    342.0                   1819.67                 
1821.50                 79.87                   61.1                    0.695                   0.785                   39.53                   1.90                    0.04                    341.5                   1819.92                 
1821.75                 78.81                   51.9                    0.712                   0.825                   41.68                   1.96                    0.05                    341.0                   1820.16                 
1822.00                 84.79                   60.0                    0.729                   0.865                   35.05                   2.02                    0.05                    340.5                   1820.40                 
1822.25                 78.53                   68.2                    0.804                   0.813                   53.69                   2.08                    0.05                    340.0                   1820.64                 
1822.50                 72.27                   76.4                    0.880                   0.762                   50.72                   2.14                    0.05                    339.5                   1820.88                 
1822.75                 55.47                   77.4                    0.708                   0.713                   47.75                   2.19                    0.06                    339.0                   1821.12                 
1823.00                 41.49                   78.4                    0.715                   0.723                   44.78                   2.17                    0.03                    338.5                   1821.36                 
1823.25                 34.33                   79.4                    0.723                   0.734                   41.81                   2.17                    -0.00                   338.0                   1821.60                 
1823.50                 35.66                   80.4                    0.731                   0.745                   38.84                   2.17                    -0.03                   337.5                   1821.84                 
1823.75                 35.71                   81.4                    0.706                   0.754                   35.87                   2.17                    -0.06                   337.1                   1822.08                 
1824.00                 35.76                   82.4                    0.682                   0.762                   36.29                   2.17                    -0.09                   336.6                   1822.32                 
1824.25                 39.89                   83.4                    0.730                   0.762                   36.71                   2.17                    0.20                    336.1                   1822.56                 
1824.50                 38.45                   86.3                    0.777                   0.762                   38.95                   2.16                    0.06                    335.6                   1822.81                 
1824.75                 38.88                   89.1                    0.792                   0.780                   41.20                   2.51                    0.06                    335.1                   1823.05                 
1825.00                 36.95                   91.9                    0.807                   0.798                   40.73                   2.86                    0.06                    334.6                   1823.29                 
1825.25                 35.03                   92.5                    0.813                   0.814                   40.26                   2.66                    0.06                    334.1                   1823.53                 
1825.50                 33.00                   93.2                    0.820                   0.829                   39.79                   2.46                    0.07                    333.6                   1823.77                 
1825.75                 35.25                   93.8                    0.826                   0.845                   72.08                   2.25                    0.07                    333.1                   1824.01                 
1826.00                 39.81                   94.4                    0.814                   5.623                   104.38                  2.39                    0.07                    332.6                   1824.25                 
1826.25                 37.46                   95.0                    0.803                   4.024                   136.67                  2.52                    0.07                    332.1                   1824.49                 
1826.50                 36.43                   94.9                    0.791                   2.425                   60.43                   2.65                    0.06                    331.6                   1824.73                 
1826.75                 35.40                   94.8                    0.780                   0.826                   51.80                   2.78                    0.06                    331.1                   1824.97                 
1827.00                 24.69                   94.7                    0.802                   0.794                   43.16                   2.92                    0.06                    330.6                   1825.21                 
1827.25                 19.10                   154.9                   0.824                   0.762                   43.16                   2.74                    0.10                    156.3                   1825.45                 
1827.50                 22.74                   215.0                   0.829                   0.775                   43.16                   2.57                    0.14                    156.3                   1825.69                 
1827.75                 28.43                   275.1                   0.834                   0.789                   42.66                   2.39                    0.10                    156.3                   1825.93                 
1828.00                 34.13                   335.3                   0.843                   0.814                   42.17                   2.21                    0.06                    156.3                   1826.17                 
1828.25                 33.97                   395.4                   0.852                   0.839                   38.88                   2.25                    -0.19                   156.3                   1826.41                 
1828.50                 42.40                   295.2                   0.861                   0.865                   37.56                   2.28                    -0.10                   156.3                   1826.65                 
1828.75                 24.49                   195.0                   0.785                   0.870                   46.32                   2.31                    -0.02                   156.3                   1826.89                 
1829.00                 24.43                   94.7                    0.709                   0.875                   55.08                   2.35                    0.06                    156.3                   1827.13                 
1829.25                 24.63                   94.0                    0.182                   0.836                   53.01                   1.88                    0.06                    156.4                   1827.37                 
1829.50                 24.83                   93.2                    0.394                   0.798                   49.40                   2.35                    0.06                    156.4                   1827.61                 
1829.75                 22.80                   92.4                    0.605                   0.789                   45.78                   2.34                    0.05                    156.4                   1827.85                 
1830.00                 21.56                   91.5                    0.817                   0.780                   50.33                   2.33                    0.04                    156.5                   1828.09                 
1830.25                 21.75                   90.5                    0.738                   0.715                   54.89                   2.34                    0.07                    156.5                   1828.33                 
1830.50                 23.00                   89.6                    0.658                   0.651                   46.89                   2.35                    0.12                    156.5                   1828.57                 
1830.75                 24.26                   94.0                    0.801                   0.754                   46.34                   2.34                    0.06                    156.6                   1828.81                 
1831.00                 21.16                   98.5                    0.809                   0.835                   45.78                   2.35                    0.06                    156.6                   1829.05                 
1831.25                 23.99                   89.6                    0.816                   0.916                   46.89                   2.34                    0.06                    156.6                   1829.28                 
1831.50                 26.29                   89.1                    0.862                   0.905                   46.58                   2.34                    0.06                    156.7                   1829.52                 
1831.75                 35.00                   92.6                    0.870                   0.892                   46.27                   2.34                    0.06                    156.7                   1829.76                 
1832.00                 38.46                   96.2                    0.878                   0.878                   45.95                   2.36                    0.06                    156.7                   1830.00                 
1832.25                 41.91                   95.8                    0.887                   0.865                   45.64                   2.32                    0.06                    156.8                   1830.24                 
1832.50                 36.21                   95.5                    0.899                   48.752                  45.33                   2.36                    0.07                    156.8                   1830.48                 
1832.75                 30.03                   95.1                    0.911                   96.640                  45.02                   2.40                    0.08                    156.8                   1830.72                 
1833.00                 22.63                   94.7                    0.923                   144.527                 44.71                   2.44                    0.09                    156.9                   1830.96                 
1833.25                 17.66                   202.3                   0.935                   192.414                 46.33                   2.32                    0.04                    156.9                   1831.20                 
1833.50                 19.44                   309.9                   0.847                   157.239                 44.75                   2.31                    0.06                    156.9                   1831.44                 
1833.75                 21.22                   417.5                   0.760                   122.064                 43.16                   2.51                    0.05                    157.0                   1831.68                 
1834.00                 22.52                   355.8                   0.673                   86.889                  171.80                  2.71                    0.03                    157.0                   1831.92                 
1834.25                 28.31                   294.1                   0.586                   51.713                  129.14                  2.91                    0.02                    157.0                   1832.15                 
1834.50                 27.69                   232.3                   0.499                   16.538                  86.48                   3.12                    0.01                    157.1                   1832.39                 
1834.75                 23.88                   170.6                   0.893                   0.835                   41.68                   3.07                    0.00                    157.1                   1832.63                 
1835.00                 20.06                   108.9                   1.930                   0.274                   49.10                   3.03                    -0.01                   157.1                   1832.87                 
1835.25                 17.32                   142.8                   2.966                   0.835                   56.53                   2.99                    -0.02                   157.2                   1833.11                 
