Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 27-JUL-2020.

HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 31/5-7
WELLBORE NAME: 31/5-7
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 31/5-7
Survey Date: 03.12.2019
Extraction Date: 30.06.2020
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: RKB(31.00m)
----------------------------------------------------------------
Surface EW: 524299.530m
Surface NS: 6715849.250m
Surface Latitude: 60° 34' 35.1281 N
Surface Longitude: 3° 26' 36.1158 E
Bottom Hole MD: 2915.00m
Bottom Hole TVD: 2914.89m
Bottom Hole EW: 524308.770m
Bottom Hole NS: 6715845.734m
----------------------------------------------------------------
Survey Program:  
H  338 - 397 36" SCHLUMBERGER MWD+IFR : INCLINATION ONLY
H  479 - 895 26" SUCHLUMBERGER MWD+IFR+AX : MAGNETIC, IFR, MAG-CORR
H  977 - 1872 17 1/2" SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
H  1956 - 2562 12 1/4"  SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
H  2622 - 2899 8 1/2" SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
----------------------------------------------------------------
Water Depth: 307.00m
KB-WH: 31.00m
KB-MSL: 31.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 0.00deg
----------------------------------------------------------------
SURVEY LIST
                MD               Inc              Azim               TVD    X-Offset (E/W)    Y-Offset (N/S)           UTM E/W           UTM N/S               DLS
             m RKB               deg               deg             m RKB                 m                 m                 m                 m           deg/30m
             11.00              0.00              0.00             11.00             0.000             0.000        524299.530       6715849.250              0.00
             11.20              0.00              0.00             11.20             0.000             0.000        524299.530       6715849.250              0.00
             11.40              0.00              0.00             11.40             0.000             0.000        524299.530       6715849.250              0.00
             11.60              0.00              0.00             11.60             0.000             0.000        524299.530       6715849.250              0.00
             11.80              0.00              0.00             11.80             0.000             0.000        524299.530       6715849.250              0.00
             12.00              0.00              0.00             12.00             0.000             0.000        524299.530       6715849.250              0.00
             12.20              0.00              0.00             12.20             0.000             0.000        524299.530       6715849.250              0.00
             12.40              0.00              0.00             12.40             0.000             0.000        524299.530       6715849.250              0.00
             12.60              0.00              0.00             12.60             0.000             0.000        524299.530       6715849.250              0.00
             12.80              0.00              0.00             12.80             0.000             0.000        524299.530       6715849.250              0.00
             13.00              0.00              0.00             13.00             0.000             0.000        524299.530       6715849.250              0.00
             13.20              0.00              0.00             13.20             0.000             0.000        524299.530       6715849.250              0.00
             13.40              0.00              0.00             13.40             0.000             0.000        524299.530       6715849.250              0.00
             13.60              0.00              0.00             13.60             0.000             0.000        524299.530       6715849.250              0.00
             13.80              0.00              0.00             13.80             0.000             0.000        524299.530       6715849.250              0.00
             14.00              0.00              0.00             14.00             0.000             0.000        524299.530       6715849.250              0.00
             14.20              0.00              0.00             14.20             0.000             0.000        524299.530       6715849.250              0.00
             14.40              0.00              0.00             14.40             0.000             0.000        524299.530       6715849.250              0.00
             14.60              0.00              0.00             14.60             0.000             0.000        524299.530       6715849.250              0.00
             14.80              0.00              0.00             14.80             0.000             0.000        524299.530       6715849.250              0.00
             15.00              0.00              0.00             15.00             0.000             0.000        524299.530       6715849.250              0.00
             15.20              0.00              0.00             15.20             0.000             0.000        524299.530       6715849.250              0.00
             15.40              0.00              0.00             15.40             0.000             0.000        524299.530       6715849.250              0.00
             15.60              0.00              0.00             15.60             0.000             0.000        524299.530       6715849.250              0.00
             15.80              0.00              0.00             15.80             0.000             0.000        524299.530       6715849.250              0.00
             16.00              0.00              0.00             16.00             0.000             0.000        524299.530       6715849.250              0.00
             16.20              0.00              0.00             16.20             0.000             0.000        524299.530       6715849.250              0.00
             16.40              0.00              0.00             16.40             0.000             0.000        524299.530       6715849.250              0.00
             16.60              0.00              0.00             16.60             0.000             0.000        524299.530       6715849.250              0.00
             16.80              0.00              0.00             16.80             0.000             0.000        524299.530       6715849.250              0.00
             17.00              0.00              0.00             17.00             0.000             0.000        524299.530       6715849.250              0.00
             17.20              0.00              0.00             17.20             0.000             0.000        524299.530       6715849.250              0.00
             17.40              0.00              0.00             17.40             0.000             0.000        524299.530       6715849.250              0.00
             17.60              0.00              0.00             17.60             0.000             0.000        524299.530       6715849.250              0.00
             17.80              0.00              0.00             17.80             0.000             0.000        524299.530       6715849.250              0.00
             18.00              0.00              0.00             18.00             0.000             0.000        524299.530       6715849.250              0.00
             18.20              0.00              0.00             18.20             0.000             0.000        524299.530       6715849.250              0.00
             18.40              0.00              0.00             18.40             0.000             0.000        524299.530       6715849.250              0.00
             18.60              0.00              0.00             18.60             0.000             0.000        524299.530       6715849.250              0.00
             18.80              0.00              0.00             18.80             0.000             0.000        524299.530       6715849.250              0.00
             19.00              0.00              0.00             19.00             0.000             0.000        524299.530       6715849.250              0.00
             19.20              0.00              0.00             19.20             0.000             0.000        524299.530       6715849.250              0.00
             19.40              0.00              0.00             19.40             0.000             0.000        524299.530       6715849.250              0.00
             19.60              0.00              0.00             19.60             0.000             0.000        524299.530       6715849.250              0.00
             19.80              0.00              0.00             19.80             0.000             0.000        524299.530       6715849.250              0.00
             20.00              0.00              0.00             20.00             0.000             0.000        524299.530       6715849.250              0.00
             20.20              0.00              0.00             20.20             0.000             0.000        524299.530       6715849.250              0.00
             20.40              0.00              0.00             20.40             0.000             0.000        524299.530       6715849.250              0.00
             20.60              0.00              0.00             20.60             0.000             0.000        524299.530       6715849.250              0.00
             20.80              0.00              0.00             20.80             0.000             0.000        524299.530       6715849.250              0.00
             21.00              0.00              0.00             21.00             0.000             0.000        524299.530       6715849.250              0.00
             21.20              0.00              0.00             21.20             0.000             0.000        524299.530       6715849.250              0.00
             21.40              0.00              0.00             21.40             0.000             0.000        524299.530       6715849.250              0.00
             21.60              0.00              0.00             21.60             0.000             0.000        524299.530       6715849.250              0.00
             21.80              0.00              0.00             21.80             0.000             0.000        524299.530       6715849.250              0.00
             22.00              0.00              0.00             22.00             0.000             0.000        524299.530       6715849.250              0.00
             22.20              0.00              0.00             22.20             0.000             0.000        524299.530       6715849.250              0.00
             22.40              0.00              0.00             22.40             0.000             0.000        524299.530       6715849.250              0.00
             22.60              0.00              0.00             22.60             0.000             0.000        524299.530       6715849.250              0.00
             22.80              0.00              0.00             22.80             0.000             0.000        524299.530       6715849.250              0.00
             23.00              0.00              0.00             23.00             0.000             0.000        524299.530       6715849.250              0.00
             23.20              0.00              0.00             23.20             0.000             0.000        524299.530       6715849.250              0.00
             23.40              0.00              0.00             23.40             0.000             0.000        524299.530       6715849.250              0.00
             23.60              0.00              0.00             23.60             0.000             0.000        524299.530       6715849.250              0.00
             23.80              0.00              0.00             23.80             0.000             0.000        524299.530       6715849.250              0.00
             24.00              0.00              0.00             24.00             0.000             0.000        524299.530       6715849.250              0.00
             24.20              0.00              0.00             24.20             0.000             0.000        524299.530       6715849.250              0.00
             24.40              0.00              0.00             24.40             0.000             0.000        524299.530       6715849.250              0.00
             24.60              0.00              0.00             24.60             0.000             0.000        524299.530       6715849.250              0.00
             24.80              0.00              0.00             24.80             0.000             0.000        524299.530       6715849.250              0.00
             25.00              0.00              0.00             25.00             0.000             0.000        524299.530       6715849.250              0.00
             25.20              0.00              0.00             25.20             0.000             0.000        524299.530       6715849.250              0.00
             25.40              0.00              0.00             25.40             0.000             0.000        524299.530       6715849.250              0.00
             25.60              0.00              0.00             25.60             0.000             0.000        524299.530       6715849.250              0.00
             25.80              0.00              0.00             25.80             0.000             0.000        524299.530       6715849.250              0.00
             26.00              0.00              0.00             26.00             0.000             0.000        524299.530       6715849.250              0.00
             26.20              0.00              0.00             26.20             0.000             0.000        524299.530       6715849.250              0.00
             26.40              0.00              0.00             26.40             0.000             0.000        524299.530       6715849.250              0.00
             26.60              0.00              0.00             26.60             0.000             0.000        524299.530       6715849.250              0.00
             26.80              0.00              0.00             26.80             0.000             0.000        524299.530       6715849.250              0.00
             27.00              0.00              0.00             27.00             0.000             0.000        524299.530       6715849.250              0.00
             27.20              0.00              0.00             27.20             0.000             0.000        524299.530       6715849.250              0.00
             27.40              0.00              0.00             27.40             0.000             0.000        524299.530       6715849.250              0.00
             27.60              0.00              0.00             27.60             0.000             0.000        524299.530       6715849.250              0.00
             27.80              0.00              0.00             27.80             0.000             0.000        524299.530       6715849.250              0.00
             28.00              0.00              0.00             28.00             0.000             0.000        524299.530       6715849.250              0.00
             28.20              0.00              0.00             28.20             0.000             0.000        524299.530       6715849.250              0.00
             28.40              0.00              0.00             28.40             0.000             0.000        524299.530       6715849.250              0.00
             28.60              0.00              0.00             28.60             0.000             0.000        524299.530       6715849.250              0.00
             28.80              0.00              0.00             28.80             0.000             0.000        524299.530       6715849.250              0.00
             29.00              0.00              0.00             29.00             0.000             0.000        524299.530       6715849.250              0.00
             29.20              0.00              0.00             29.20             0.000             0.000        524299.530       6715849.250              0.00
             29.40              0.00              0.00             29.40             0.000             0.000        524299.530       6715849.250              0.00
             29.60              0.00              0.00             29.60             0.000             0.000        524299.530       6715849.250              0.00
             29.80              0.00              0.00             29.80             0.000             0.000        524299.530       6715849.250              0.00
             30.00              0.00              0.00             30.00             0.000             0.000        524299.530       6715849.250              0.00
             30.20              0.00              0.00             30.20             0.000             0.000        524299.530       6715849.250              0.00
             30.40              0.00              0.00             30.40             0.000             0.000        524299.530       6715849.250              0.00
             30.60              0.00              0.00             30.60             0.000             0.000        524299.530       6715849.250              0.00
             30.80              0.00              0.00             30.80             0.000             0.000        524299.530       6715849.250              0.00
             31.00              0.00              0.00             31.00             0.000             0.000        524299.530       6715849.250              0.00
             31.20              0.00              0.00             31.20             0.000             0.000        524299.530       6715849.250              0.00
             31.40              0.00              0.00             31.40             0.000             0.000        524299.530       6715849.250              0.00
             31.60              0.00              0.00             31.60             0.000             0.000        524299.530       6715849.250              0.00
             31.80              0.00              0.00             31.80             0.000             0.000        524299.530       6715849.250              0.00
             32.00              0.00              0.00             32.00             0.000             0.000        524299.530       6715849.250              0.00
             32.20              0.00              0.00             32.20             0.000             0.000        524299.530       6715849.250              0.00
             32.40              0.00              0.00             32.40             0.000             0.000        524299.530       6715849.250              0.00
             32.60              0.00              0.00             32.60             0.000             0.000        524299.530       6715849.250              0.00
             32.80              0.00              0.00             32.80             0.000             0.000        524299.530       6715849.250              0.00
             33.00              0.00              0.00             33.00             0.000             0.000        524299.530       6715849.250              0.00
             33.20              0.00              0.00             33.20             0.000             0.000        524299.530       6715849.250              0.00
             33.40              0.00              0.00             33.40             0.000             0.000        524299.530       6715849.250              0.00
             33.60              0.00              0.00             33.60             0.000             0.000        524299.530       6715849.250              0.00
             33.80              0.00              0.00             33.80             0.000             0.000        524299.530       6715849.250              0.00
             34.00              0.00              0.00             34.00             0.000             0.000        524299.530       6715849.250              0.00
             34.20              0.00              0.00             34.20             0.000             0.000        524299.530       6715849.250              0.00
             34.40              0.00              0.00             34.40             0.000             0.000        524299.530       6715849.250              0.00
             34.60              0.00              0.00             34.60             0.000             0.000        524299.530       6715849.250              0.00
             34.80              0.00              0.00             34.80             0.000             0.000        524299.530       6715849.250              0.00
             35.00              0.00              0.00             35.00             0.000             0.000        524299.530       6715849.250              0.00
             35.20              0.00              0.00             35.20             0.000             0.000        524299.530       6715849.250              0.00
             35.40              0.00              0.00             35.40             0.000             0.000        524299.530       6715849.250              0.00
             35.60              0.00              0.00             35.60             0.000             0.000        524299.530       6715849.250              0.00
             35.80              0.00              0.00             35.80             0.000             0.000        524299.530       6715849.250              0.00
             36.00              0.00              0.00             36.00             0.000             0.000        524299.530       6715849.250              0.00
             36.20              0.00              0.00             36.20             0.000             0.000        524299.530       6715849.250              0.00
             36.40              0.00              0.00             36.40             0.000             0.000        524299.530       6715849.250              0.00
             36.60              0.00              0.00             36.60             0.000             0.000        524299.530       6715849.250              0.00
             36.80              0.00              0.00             36.80             0.000             0.000        524299.530       6715849.250              0.00
             37.00              0.00              0.00             37.00             0.000             0.000        524299.530       6715849.250              0.00
             37.20              0.00              0.00             37.20             0.000             0.000        524299.530       6715849.250              0.00
             37.40              0.00              0.00             37.40             0.000             0.000        524299.530       6715849.250              0.00
             37.60              0.00              0.00             37.60             0.000             0.000        524299.530       6715849.250              0.00
             37.80              0.00              0.00             37.80             0.000             0.000        524299.530       6715849.250              0.00
             38.00              0.00              0.00             38.00             0.000             0.000        524299.530       6715849.250              0.00
             38.20              0.00              0.00             38.20             0.000             0.000        524299.530       6715849.250              0.00
             38.40              0.00              0.00             38.40             0.000             0.000        524299.530       6715849.250              0.00
             38.60              0.00              0.00             38.60             0.000             0.000        524299.530       6715849.250              0.00
             38.80              0.00              0.00             38.80             0.000             0.000        524299.530       6715849.250              0.00
             39.00              0.00              0.00             39.00             0.000             0.000        524299.530       6715849.250              0.00
             39.20              0.00              0.00             39.20             0.000             0.000        524299.530       6715849.250              0.00
             39.40              0.00              0.00             39.40             0.000             0.000        524299.530       6715849.250              0.00
             39.60              0.00              0.00             39.60             0.000             0.000        524299.530       6715849.250              0.00
             39.80              0.00              0.00             39.80             0.000             0.000        524299.530       6715849.250              0.00
             40.00              0.00              0.00             40.00             0.000             0.000        524299.530       6715849.250              0.00
             40.20              0.00              0.00             40.20             0.000             0.000        524299.530       6715849.250              0.00
             40.40              0.00              0.00             40.40             0.000             0.000        524299.530       6715849.250              0.00
             40.60              0.00              0.00             40.60             0.000             0.000        524299.530       6715849.250              0.00
             40.80              0.00              0.00             40.80             0.000             0.000        524299.530       6715849.250              0.00
             41.00              0.00              0.00             41.00             0.000             0.000        524299.530       6715849.250              0.00
             41.20              0.00              0.00             41.20             0.000             0.000        524299.530       6715849.250              0.00
             41.40              0.00              0.00             41.40             0.000             0.000        524299.530       6715849.250              0.00
             41.60              0.00              0.00             41.60             0.000             0.000        524299.530       6715849.250              0.00
             41.80              0.00              0.00             41.80             0.000             0.000        524299.530       6715849.250              0.00
             42.00              0.00              0.00             42.00             0.000             0.000        524299.530       6715849.250              0.00
             42.20              0.00              0.00             42.20             0.000             0.000        524299.530       6715849.250              0.00
             42.40              0.00              0.00             42.40             0.000             0.000        524299.530       6715849.250              0.00
             42.60              0.00              0.00             42.60             0.000             0.000        524299.530       6715849.250              0.00
             42.80              0.00              0.00             42.80             0.000             0.000        524299.530       6715849.250              0.00
             43.00              0.00              0.00             43.00             0.000             0.000        524299.530       6715849.250              0.00
             43.20              0.00              0.00             43.20             0.000             0.000        524299.530       6715849.250              0.00
             43.40              0.00              0.00             43.40             0.000             0.000        524299.530       6715849.250              0.00
             43.60              0.00              0.00             43.60             0.000             0.000        524299.530       6715849.250              0.00
             43.80              0.00              0.00             43.80             0.000             0.000        524299.530       6715849.250              0.00
             44.00              0.00              0.00             44.00             0.000             0.000        524299.530       6715849.250              0.00
             44.20              0.00              0.00             44.20             0.000             0.000        524299.530       6715849.250              0.00
             44.40              0.00              0.00             44.40             0.000             0.000        524299.530       6715849.250              0.00
             44.60              0.00              0.00             44.60             0.000             0.000        524299.530       6715849.250              0.00
             44.80              0.00              0.00             44.80             0.000             0.000        524299.530       6715849.250              0.00
             45.00              0.00              0.00             45.00             0.000             0.000        524299.530       6715849.250              0.00
             45.20              0.00              0.00             45.20             0.000             0.000        524299.530       6715849.250              0.00
             45.40              0.00              0.00             45.40             0.000             0.000        524299.530       6715849.250              0.00
             45.60              0.00              0.00             45.60             0.000             0.000        524299.530       6715849.250              0.00
             45.80              0.00              0.00             45.80             0.000             0.000        524299.530       6715849.250              0.00
             46.00              0.00              0.00             46.00             0.000             0.000        524299.530       6715849.250              0.00
             46.20              0.00              0.00             46.20             0.000             0.000        524299.530       6715849.250              0.00
             46.40              0.00              0.00             46.40             0.000             0.000        524299.530       6715849.250              0.00
             46.60              0.00              0.00             46.60             0.000             0.000        524299.530       6715849.250              0.00
             46.80              0.00              0.00             46.80             0.000             0.000        524299.530       6715849.250              0.00
             47.00              0.00              0.00             47.00             0.000             0.000        524299.530       6715849.250              0.00
             47.20              0.00              0.00             47.20             0.000             0.000        524299.530       6715849.250              0.00
             47.40              0.00              0.00             47.40             0.000             0.000        524299.530       6715849.250              0.00
             47.60              0.00              0.00             47.60             0.000             0.000        524299.530       6715849.250              0.00
             47.80              0.00              0.00             47.80             0.000             0.000        524299.530       6715849.250              0.00
             48.00              0.00              0.00             48.00             0.000             0.000        524299.530       6715849.250              0.00
             48.20              0.00              0.00             48.20             0.000             0.000        524299.530       6715849.250              0.00
             48.40              0.00              0.00             48.40             0.000             0.000        524299.530       6715849.250              0.00
             48.60              0.00              0.00             48.60             0.000             0.000        524299.530       6715849.250              0.00
             48.80              0.00              0.00             48.80             0.000             0.000        524299.530       6715849.250              0.00
             49.00              0.00              0.00             49.00             0.000             0.000        524299.530       6715849.250              0.00
             49.20              0.00              0.00             49.20             0.000             0.000        524299.530       6715849.250              0.00
             49.40              0.00              0.00             49.40             0.000             0.000        524299.530       6715849.250              0.00
             49.60              0.00              0.00             49.60             0.000             0.000        524299.530       6715849.250              0.00
             49.80              0.00              0.00             49.80             0.000             0.000        524299.530       6715849.250              0.00
             50.00              0.00              0.00             50.00             0.000             0.000        524299.530       6715849.250              0.00
             50.20              0.00              0.00             50.20             0.000             0.000        524299.530       6715849.250              0.00
             50.40              0.00              0.00             50.40             0.000             0.000        524299.530       6715849.250              0.00
             50.60              0.00              0.00             50.60             0.000             0.000        524299.530       6715849.250              0.00
             50.80              0.00              0.00             50.80             0.000             0.000        524299.530       6715849.250              0.00
             51.00              0.00              0.00             51.00             0.000             0.000        524299.530       6715849.250              0.00
             51.20              0.00              0.00             51.20             0.000             0.000        524299.530       6715849.250              0.00
             51.40              0.00              0.00             51.40             0.000             0.000        524299.530       6715849.250              0.00
             51.60              0.00              0.00             51.60             0.000             0.000        524299.530       6715849.250              0.00
             51.80              0.00              0.00             51.80             0.000             0.000        524299.530       6715849.250              0.00
             52.00              0.00              0.00             52.00             0.000             0.000        524299.530       6715849.250              0.00
             52.20              0.00              0.00             52.20             0.000             0.000        524299.530       6715849.250              0.00
             52.40              0.00              0.00             52.40             0.000             0.000        524299.530       6715849.250              0.00
             52.60              0.00              0.00             52.60             0.000             0.000        524299.530       6715849.250              0.00
             52.80              0.00              0.00             52.80             0.000             0.000        524299.530       6715849.250              0.00
             53.00              0.00              0.00             53.00             0.000             0.000        524299.530       6715849.250              0.00
             53.20              0.00              0.00             53.20             0.000             0.000        524299.530       6715849.250              0.00
             53.40              0.00              0.00             53.40             0.000             0.000        524299.530       6715849.250              0.00
             53.60              0.00              0.00             53.60             0.000             0.000        524299.530       6715849.250              0.00
             53.80              0.00              0.00             53.80             0.000             0.000        524299.530       6715849.250              0.00
             54.00              0.00              0.00             54.00             0.000             0.000        524299.530       6715849.250              0.00
             54.20              0.00              0.00             54.20             0.000             0.000        524299.530       6715849.250              0.00
             54.40              0.00              0.00             54.40             0.000             0.000        524299.530       6715849.250              0.00
